episode,reward,curriculum_level
1,0.2119913104635358,0
2,0.3861490704322974,0
3,0.3124588145576017,0
4,0.14723938370123002,0
5,0.4038412186226348,0
6,1.0850309388600947,0
7,1.6034681995632902,0
8,1.1470496467825122,0
9,0.2524959020489419,0
10,21.255234283560352,0
11,0.35036191400834094,0
12,0.846800720552257,0
13,0.45328532771107843,0
14,0.4492173855134374,0
15,0.7325695040599467,0
16,0.5588681031493643,0
17,0.4472565514136537,0
18,0.7438523411306854,0
19,0.4658318666719421,0
20,0.8405231104533937,0
21,0.9358278785432752,0
22,1.2930192084326755,0
23,1.4842727795083879,0
24,1.8317687276548538,0
25,1.8634069464948027,0
26,1.791661713779722,0
27,3.8405405052343466,0
28,9.639474621131196,0
29,3.107347127680612,0
30,7.96451799279944,1
31,8.506333238853863,1
32,13.029202464149225,1
33,4.321312104714795,1
34,9.16993015339358,1
35,10.752389476377473,1
36,8.816941355817274,1
37,5.602111030751583,1
38,7.1281709264710456,1
39,4.370285521419117,1
40,2.574976478401326,1
41,8.018917455605353,1
42,9.524250928881742,1
43,16.177034153655782,1
44,12.875338621329055,1
45,11.084729654353321,1
46,6.221270552113567,1
47,6.766657204560127,1
48,15.412736216279916,1
49,13.431668291393835,1
50,5.754306579043579,1
51,6.806100762965612,1
52,6.31045935320885,1
53,5.346299202776082,1
54,10.771641416852775,1
55,3.7331802486823302,1
56,5.761287664839261,1
57,5.399719953960636,1
58,5.549282956786049,1
59,2.7678405281906375,1
60,4.859457253367001,1
61,9.39343614919675,1
62,8.89092190007046,1
63,5.455099010871438,1
64,4.518768673513035,1
65,3.1520035290473194,1
66,5.54888223210088,1
67,7.408213332609319,1
68,4.516743709368777,1
69,8.622233180253213,1
70,3.151702697021779,1
71,18.07832010114878,1
72,14.561615536444616,1
73,20.657606703562067,1
74,7.977740715078273,1
75,3.49599696038975,1
76,4.041576672966969,1
77,2.879908677073429,1
78,5.1793400038743425,1
79,6.039056784394377,1
80,13.79194450972062,1
81,12.332923189640841,1
82,17.965629451544643,1
83,4.818336707983069,1
84,11.766515644750609,1
85,10.717880876573522,1
86,6.560465690116111,1
87,2.8757287126073763,1
88,2.9044376055195897,1
89,2.8429629186043,1
90,3.7760035096425084,1
91,3.742624973725126,1
92,4.351096666919992,1
93,4.130472740653706,1
94,2.0139097377286412,1
95,8.116643627804613,1
96,4.133909764664632,1
97,4.110515210213639,1
98,2.032706842566985,1
99,10.410656884353132,1
100,12.874796693894197,1
101,8.220597609401572,1
102,2.4654780586523786,1
103,5.814494004779771,1
104,10.53243603840043,1
105,4.42389094620427,1
106,4.35852526629491,1
107,2.784196729090423,1
108,3.6241099244710124,1
109,5.557455864653606,1
110,2.781706614422419,1
111,5.891979649216886,1
112,6.9499133120361805,1
113,2.695074103924808,1
114,6.836413625224103,1
115,6.992894406828427,1
116,11.888037911568608,1
117,8.957006963223444,1
118,2.816117262036604,1
119,12.385891268476692,1
120,8.577991210125479,1
121,7.344624088379586,1
122,1.9601564535027665,1
123,5.217808509596823,1
124,12.618747753888192,1
125,16.21100735109056,1
126,11.243135573777828,1
127,8.052134388809096,1
128,8.351682139679864,1
129,4.818988128635874,1
130,8.55192671288113,1
131,3.3818816328839096,1
132,15.979185772850654,1
133,42.98043853157647,1
134,26.356807450738163,1
135,24.555746126359523,1
136,18.817521311082405,1
137,2.0096064167518315,1
138,10.422354044593373,1
139,5.135701007807528,1
140,13.329150087273911,1
141,5.257085607006245,1
142,7.28700389093331,1
143,13.907904828988892,1
144,6.42706667499567,1
145,2.6904827100347815,1
146,2.739888720513883,1
147,7.195212973512562,1
148,5.843211267712542,1
149,5.613683523761416,1
150,5.717074865111121,1
151,2.959093925296331,1
152,5.487048642454935,1
153,3.2713391402790575,1
154,5.022662317834537,1
155,3.935486785006483,1
156,5.374616925630011,1
157,4.428626810116375,1
158,3.6413474854837817,1
159,2.257504631856798,1
160,2.247261170845724,1
161,1.914991707521632,1
162,2.5116953761200724,1
163,3.07386127117346,1
164,1.5940066911853203,1
165,2.2041316756175213,1
166,2.515174805148896,1
167,1.9019967119150925,1
168,1.889960940875338,1
169,1.581183017910446,1
170,1.5747472627573895,1
171,1.9029764853833666,1
172,1.8890203774475747,1
173,1.5748836988613142,1
174,1.2444538826323222,1
175,1.2472886741904052,1
176,1.5816844605205878,1
177,1.2440436438296116,1
178,1.5914457510506799,1
179,1.5713925163212357,1
180,1.5848586634323347,1
181,1.2521705725849606,1
182,1.5589038130597512,1
183,1.2483060358509492,1
184,1.2421792514158243,1
185,1.5702384400715144,1
186,1.9232751677823074,1
187,1.24480679507323,1
188,1.25420255007853,1
189,1.5802053618586342,1
190,1.2480857982871556,1
191,1.5799137174585884,1
192,3.3884080335715527,1
193,2.2542334248351126,1
194,1.5824322521989387,1
195,1.5823662098058677,1
196,1.5783396410989385,1
197,1.900102969654521,1
198,1.5785029954908794,1
199,1.5791433968228532,1
200,1.5783218515614652,1
201,1.2492877392148525,1
202,1.9270379444374655,1
