episode,timestep,reward, averagate_reward_100
50, 720, 2.4156, 2.4156
116, 1440, 1.9741, 1.7624
164, 2160, 3.0687, 3.5861
215, 2880, 3.456, 5.1416
260, 3600, 3.9334, 5.6092
305, 4320, 4.0262, 5.0876
343, 5040, 4.9775, 8.1499
380, 5760, 5.6365, 10.5664
413, 6480, 6.7834, 14.2682
441, 7200, 7.7659, 17.393
464, 7920, 9.7153, 25.3195
487, 8640, 11.0355, 31.2018
508, 9360, 12.9666, 38.336
531, 10080, 14.3358, 43.813
549, 10800, 16.5011, 51.6362
566, 11520, 17.8689, 55.8546
581, 12240, 19.6453, 63.5672
597, 12960, 21.4125, 69.4431
611, 13680, 23.5123, 76.1401
624, 14400, 25.5467, 86.7612
639, 15120, 27.8018, 91.8215
653, 15840, 29.529, 100.3649
664, 16560, 31.6122, 108.3617
676, 17280, 33.6152, 116.3292
689, 18000, 35.7452, 125.3328
703, 18720, 37.8444, 129.5979
716, 19440, 39.8802, 135.0821
728, 20160, 42.1083, 139.5743
740, 20880, 44.2508, 148.3465
752, 21600, 46.0898, 155.451
764, 22320, 48.2949, 159.068
776, 23040, 50.3878, 163.7706
789, 23760, 52.1689, 165.3278
802, 24480, 54.1102, 169.2007
813, 25200, 55.8622, 173.5802
825, 25920, 57.7537, 175.6673
836, 26640, 59.1903, 173.2928
847, 27360, 60.5062, 172.926
860, 28080, 62.1226, 172.7701
871, 28800, 63.6966, 173.1184
883, 29520, 65.3606, 176.5214
895, 30240, 66.9288, 177.7936
907, 30960, 68.605, 179.6662
920, 31680, 70.0198, 176.8213
932, 32400, 71.2826, 175.2526
946, 33120, 72.5033, 175.4245
957, 33840, 73.9154, 177.6694
968, 34560, 75.2716, 178.7503
979, 35280, 76.4549, 179.0814
990, 36000, 77.6824, 179.1556
1001, 36720, 78.9544, 179.8325
1013, 37440, 80.1739, 179.0637
1024, 38160, 81.3143, 181.9507
1036, 38880, 82.4752, 185.0818
1048, 39600, 83.6323, 186.6641
1059, 40320, 84.7668, 186.4276
1071, 41040, 85.8835, 185.5206
1084, 41760, 87.0026, 185.6609
1096, 42480, 88.1304, 185.3126
1108, 43200, 89.2727, 186.2759
1121, 43920, 90.4578, 186.748
1134, 44640, 91.3043, 184.1237
1146, 45360, 92.3117, 185.3404
1159, 46080, 93.1877, 182.3647
1172, 46800, 94.1742, 181.9141
1185, 47520, 95.1447, 182.7034
1198, 48240, 96.0656, 181.094
1210, 48960, 96.9831, 180.5799
1222, 49680, 97.9218, 180.6267
1234, 50400, 98.8551, 184.4819
1247, 51120, 99.6381, 182.7301
1260, 51840, 100.4079, 183.4045
1272, 52560, 101.2845, 184.6183
1284, 53280, 102.1539, 186.1519
1297, 54000, 103.046, 187.3936
1309, 54720, 103.9013, 187.8236
1322, 55440, 104.636, 186.6833
1335, 56160, 105.3566, 184.5977
1346, 56880, 106.1065, 187.6715
1359, 57600, 106.7842, 188.0733
1372, 58320, 107.4557, 185.9532
1383, 59040, 108.1508, 185.998
1395, 59760, 108.8681, 185.9653
1407, 60480, 109.6049, 185.9793
1418, 61200, 110.2805, 186.3525
1430, 61920, 111.0013, 190.2613
1442, 62640, 111.3408, 185.1322
1453, 63360, 111.8461, 185.0876
1465, 64080, 112.5433, 188.0026
1478, 64800, 113.2361, 187.6733
1489, 65520, 113.8282, 187.9396
1502, 66240, 114.4781, 186.9167
1516, 66960, 114.9989, 183.5645
1529, 67680, 115.5135, 180.8526
1541, 68400, 116.0828, 185.2795
1553, 69120, 116.711, 187.3981
1564, 69840, 117.2135, 186.3866
1576, 70560, 117.7809, 186.2113
1588, 71280, 118.3627, 186.6623
1601, 72000, 119.0073, 187.8307
1613, 72720, 119.5301, 188.8846
1626, 73440, 120.0228, 190.7764
1640, 74160, 120.394, 187.6325
1652, 74880, 120.9288, 187.2054
1664, 75600, 121.4007, 186.8872
1677, 76320, 121.8204, 184.6213
1690, 77040, 122.3488, 184.1395
1702, 77760, 122.8759, 184.0995
1715, 78480, 123.4374, 185.2324
1727, 79200, 123.9508, 187.036
1739, 79920, 124.4273, 191.2206
1753, 80640, 124.7605, 187.2842
1766, 81360, 125.1678, 186.5328
1779, 82080, 125.5755, 187.1472
1792, 82800, 125.9944, 186.2073
1805, 83520, 126.3027, 182.5605
1817, 84240, 126.7434, 182.0128
1829, 84960, 127.0893, 179.93
1840, 85680, 127.5131, 180.5546
1852, 86400, 127.9701, 184.8819
1864, 87120, 128.4201, 187.2185
1875, 87840, 128.8234, 187.3318
1888, 88560, 129.2118, 187.8254
1900, 89280, 129.6513, 191.5388
1913, 90000, 130.0111, 191.5222
1925, 90720, 130.3806, 191.2371
1938, 91440, 130.7077, 190.8542
1951, 92160, 130.9603, 186.9605
1964, 92880, 131.3496, 185.9555
1978, 93600, 131.6253, 182.0851
1989, 94320, 131.9717, 183.4335
2001, 95040, 132.3545, 183.0253
2013, 95760, 132.6604, 183.3413
2025, 96480, 132.8885, 181.1653
2038, 97200, 133.1568, 180.6203
2051, 97920, 133.3931, 180.8579
2062, 98640, 133.7564, 182.3104
2073, 99360, 134.0886, 185.9614
2086, 100080, 134.3796, 184.0016
2098, 100800, 134.73, 184.0575
2110, 101520, 135.0839, 185.6858
2122, 102240, 135.4351, 188.7314
2134, 102960, 135.7775, 191.2782
2145, 103680, 136.1135, 195.6727
2157, 104400, 136.4679, 195.6564
2169, 105120, 136.8038, 195.3765
2180, 105840, 137.0388, 196.1723
2192, 106560, 137.264, 194.1226
2204, 107280, 137.5649, 193.4953
2216, 108000, 137.8842, 193.4429
2228, 108720, 138.2124, 193.6906
2240, 109440, 138.4029, 190.6213
2253, 110160, 138.6948, 189.2629
2265, 110880, 139.0051, 189.1635
2277, 111600, 139.2324, 187.6588
2290, 112320, 139.4774, 188.674
2303, 113040, 139.7843, 189.2456
2315, 113760, 140.0837, 189.4329
2327, 114480, 140.3891, 189.5692
2339, 115200, 140.6882, 192.4275
2351, 115920, 140.9951, 194.0313
2364, 116640, 141.2309, 192.2266
2376, 117360, 141.4442, 191.9766
2387, 118080, 141.7259, 193.2161
2399, 118800, 142.014, 195.4079
2410, 119520, 142.279, 195.9024
2421, 120240, 142.559, 196.3699
2433, 120960, 142.8432, 196.7301
2444, 121680, 143.1133, 196.9794
2455, 122400, 143.3711, 197.0755
2466, 123120, 143.6014, 198.8414
2477, 123840, 143.8174, 199.603
2487, 124560, 144.0454, 199.4111
2497, 125280, 144.3013, 200.2585
2508, 126000, 144.5682, 200.6461
2518, 126720, 144.8232, 201.6213
2528, 127440, 145.0723, 202.1485
2539, 128160, 145.3318, 202.3393
2550, 128880, 145.5776, 202.2861
2561, 129600, 145.8315, 203.8194
2572, 130320, 145.9286, 200.5228
2583, 131040, 146.1883, 201.8313
2593, 131760, 146.4204, 201.7436
2603, 132480, 146.6428, 201.7131
2614, 133200, 146.8932, 201.5178
2624, 133920, 147.1209, 201.2902
2635, 134640, 147.3227, 200.2463
2645, 135360, 147.497, 199.1183
2655, 136080, 147.7231, 199.4831
2665, 136800, 147.9429, 201.6
2675, 137520, 148.1554, 203.7634
2685, 138240, 148.3769, 203.6794
2695, 138960, 148.5999, 203.7694
2705, 139680, 148.8266, 204.4891
2715, 140400, 149.0186, 203.7927
2724, 141120, 149.2362, 204.7435
2733, 141840, 149.4467, 206.1277
2743, 142560, 149.6541, 207.1933
2753, 143280, 149.8767, 208.0959
2764, 144000, 150.001, 205.4826
2774, 144720, 150.2125, 205.7972
2784, 145440, 150.3664, 204.3459
2793, 146160, 150.5631, 204.6263
2802, 146880, 150.7639, 204.9625
2811, 147600, 150.9496, 205.9547
2819, 148320, 151.097, 204.9194
2829, 149040, 151.2692, 203.5264
2839, 149760, 151.475, 203.7205
2848, 150480, 151.648, 203.4847
2857, 151200, 151.8336, 204.4544
2866, 151920, 152.0167, 206.7003
2875, 152640, 152.1968, 206.6722
2885, 153360, 152.2975, 205.4164
2894, 154080, 152.4542, 204.6499
2904, 154800, 152.6136, 203.3147
2914, 155520, 152.81, 203.4859
2924, 156240, 152.9991, 205.0154
2934, 156960, 153.1228, 202.8966
2944, 157680, 153.3152, 202.8595
2954, 158400, 153.4261, 200.6079
2964, 159120, 153.6071, 200.2835
2974, 159840, 153.778, 199.7365
2985, 160560, 153.9484, 201.5773
2995, 161280, 154.1167, 202.5361
3005, 162000, 154.3158, 203.2291
3013, 162720, 154.447, 202.6597
3022, 163440, 154.6369, 203.5747
3031, 164160, 154.5575, 198.3859
3041, 164880, 154.7092, 197.3261
3052, 165600, 154.8165, 196.9673
3063, 166320, 154.9203, 194.3647
3072, 167040, 155.0891, 195.1732
3082, 167760, 155.2665, 195.6263
3092, 168480, 155.4379, 196.7299
3103, 169200, 155.4805, 191.5228
3112, 169920, 155.4403, 185.6054
3123, 170640, 155.62, 184.8185
3133, 171360, 155.7922, 192.0771
3143, 172080, 155.9233, 191.7396
3152, 172800, 155.9262, 189.7956
3162, 173520, 156.0774, 191.2048
3172, 174240, 156.2337, 191.3972
3182, 174960, 156.3619, 190.1244
3192, 175680, 156.5078, 189.5892
3204, 176400, 156.6682, 192.9515
3214, 177120, 156.7772, 197.3273
3225, 177840, 156.8897, 195.533
3236, 178560, 157.0192, 193.8603
3245, 179280, 157.1412, 194.2598
3255, 180000, 157.2951, 199.6753
3264, 180720, 157.4312, 199.2526
3276, 181440, 157.5482, 198.2019
3285, 182160, 157.6675, 197.5318
3295, 182880, 157.8217, 198.3468
3306, 183600, 157.9721, 198.6606
3316, 184320, 158.0485, 197.8856
3326, 185040, 158.2034, 200.9646
3337, 185760, 158.3673, 201.4417
3347, 186480, 158.5197, 201.9834
3357, 187200, 158.6417, 201.6024
3368, 187920, 158.7907, 201.1745
3379, 188640, 158.9255, 202.6237
3389, 189360, 159.0716, 203.1374
3400, 190080, 159.2201, 202.9942
3409, 190800, 159.3568, 203.4013
3419, 191520, 159.4894, 205.7651
3428, 192240, 159.6127, 205.5457
3438, 192960, 159.7561, 205.5406
3447, 193680, 159.8826, 205.4977
3458, 194400, 160.0166, 205.6686
3468, 195120, 160.1657, 206.4758
3476, 195840, 160.272, 207.2176
3487, 196560, 160.431, 207.4313
3497, 197280, 160.5629, 207.5718
3507, 198000, 160.6725, 206.6474
3517, 198720, 160.7628, 204.9468
3526, 199440, 160.9067, 206.2774
3535, 200160, 161.0349, 206.1576
3545, 200880, 161.1772, 206.9319
3555, 201600, 161.3259, 207.4372
3564, 202320, 161.4486, 207.9923
3572, 203040, 161.572, 208.3564
3582, 203760, 161.6989, 208.2733
3591, 204480, 161.8234, 208.1085
3601, 205200, 161.9066, 207.5904
3610, 205920, 162.0432, 208.5734
3620, 206640, 162.1784, 210.3458
3630, 207360, 162.3166, 209.8637
3639, 208080, 162.4486, 210.2319
3650, 208800, 162.524, 207.3952
3660, 209520, 162.6024, 205.5177
3669, 210240, 162.7152, 205.1805
3678, 210960, 162.8302, 205.4151
3687, 211680, 162.9715, 206.4063
3696, 212400, 163.0417, 206.3797
3705, 213120, 163.142, 205.3702
3716, 213840, 163.2037, 202.2783
3726, 214560, 163.3321, 202.2452
3734, 215280, 163.4302, 201.8062
3743, 216000, 163.5236, 201.1312
3752, 216720, 163.6388, 203.257
3760, 217440, 163.7449, 205.5592
3769, 218160, 163.8507, 205.5122
3778, 218880, 163.9324, 204.4711
3787, 219600, 164.065, 204.3813
3796, 220320, 164.1949, 206.8191
3805, 221040, 164.3112, 207.6292
3814, 221760, 164.3994, 209.7842
3824, 222480, 164.5385, 210.5461
3832, 223200, 164.6561, 211.4394
3841, 223920, 164.7672, 212.0269
3850, 224640, 164.8882, 212.6308
3860, 225360, 165.0207, 212.9928
3870, 226080, 165.1328, 213.2858
3880, 226800, 165.2418, 213.7423
3890, 227520, 165.3588, 212.6265
3899, 228240, 165.4327, 210.9758
3910, 228960, 165.5408, 209.8551
3918, 229680, 165.6503, 211.1168
3926, 230400, 165.7601, 211.3567
3936, 231120, 165.8606, 209.999
3945, 231840, 165.9697, 210.037
3954, 232560, 166.0778, 209.8279
3962, 233280, 166.1813, 210.0763
3972, 234000, 166.2573, 209.2174
3981, 234720, 166.3765, 209.8589
3989, 235440, 166.4887, 211.0347
3998, 236160, 166.5911, 212.3271
4007, 236880, 166.6745, 212.0482
4016, 237600, 166.7915, 212.5626
4025, 238320, 166.9025, 212.2878
4034, 239040, 167.019, 213.717
4042, 239760, 167.1325, 213.9281
4051, 240480, 167.2561, 215.4459
4060, 241200, 167.3831, 216.0812
4069, 241920, 167.489, 216.056
4078, 242640, 167.5951, 217.3543
4086, 243360, 167.7082, 217.8982
4096, 244080, 167.7956, 217.0413
4105, 244800, 167.9145, 217.7666
4114, 245520, 167.9903, 217.1425
4123, 246240, 168.0868, 216.9544
4133, 246960, 168.1428, 213.9958
4142, 247680, 168.2477, 213.3201
4152, 248400, 168.288, 209.5612
4162, 249120, 168.3668, 207.4317
4170, 249840, 168.4727, 207.9944
4179, 250560, 168.5303, 206.0236
4188, 251280, 168.6491, 205.9034
4196, 252000, 168.7518, 207.9177
4205, 252720, 168.8582, 207.5946
4214, 253440, 168.9627, 208.9695
4223, 254160, 169.0807, 210.0601
4232, 254880, 169.1752, 212.265
4240, 255600, 169.2814, 213.3194
4249, 256320, 169.3912, 213.1242
4258, 257040, 169.4965, 218.5692
4267, 257760, 169.5626, 216.5491
4276, 258480, 169.6863, 217.5913
4284, 259200, 169.787, 219.6172
4293, 259920, 169.9029, 219.9335
4302, 260640, 170.0021, 219.3859
4310, 261360, 170.1069, 220.1032
4319, 262080, 170.2124, 220.0797
4329, 262800, 170.3244, 220.5183
4338, 263520, 170.416, 219.6485
4347, 264240, 170.4838, 217.9916
4357, 264960, 170.5632, 216.5468
4367, 265680, 170.627, 216.0449
4376, 266400, 170.7273, 215.2411
4385, 267120, 170.8448, 215.6197
4393, 267840, 170.9527, 216.0222
4402, 268560, 171.0677, 216.9093
4410, 269280, 171.1754, 217.2296
4418, 270000, 171.2762, 217.7368
4427, 270720, 171.3808, 218.307
4435, 271440, 171.4812, 218.3771
4444, 272160, 171.5941, 221.5633
4452, 272880, 171.6922, 221.4319
4460, 273600, 171.7974, 224.4846
4469, 274320, 171.8682, 225.5511
4477, 275040, 171.9778, 226.2484
4486, 275760, 172.0548, 224.567
4493, 276480, 172.1559, 225.0093
4500, 277200, 172.245, 225.2612
4509, 277920, 172.3213, 223.508
4517, 278640, 172.4157, 223.0409
4525, 279360, 172.5312, 224.7193
4532, 280080, 172.6191, 224.7581
4540, 280800, 172.6548, 221.9017
4547, 281520, 172.7489, 222.7199
4555, 282240, 172.8451, 222.3928
4562, 282960, 172.9203, 224.0126
4569, 283680, 173.0172, 224.3642
4579, 284400, 173.0949, 221.8027
4588, 285120, 173.1462, 220.8925
4595, 285840, 173.2463, 220.9894
4603, 286560, 173.2804, 218.1004
4610, 287280, 173.3816, 220.582
4618, 288000, 173.4925, 221.54
4626, 288720, 173.5944, 221.1348
4633, 289440, 173.6933, 223.019
4639, 290160, 173.7772, 223.06
4647, 290880, 173.8798, 225.3013
4655, 291600, 173.9803, 225.6899
4662, 292320, 174.0754, 226.7734
4668, 293040, 174.1456, 226.4156
4674, 293760, 174.2285, 227.3926
4682, 294480, 174.2795, 227.4494
4689, 295200, 174.3713, 230.0057
4695, 295920, 174.4534, 229.9189
4702, 296640, 174.5473, 233.5028
4709, 297360, 174.6263, 232.565
4718, 298080, 174.6562, 228.3984
4724, 298800, 174.6764, 225.9586
4731, 299520, 174.7768, 226.3173
4736, 300240, 174.8392, 226.0529
4743, 300960, 174.9241, 225.8662
4748, 301680, 174.9917, 226.0802
4754, 302400, 175.0829, 226.9994
4760, 303120, 175.1529, 226.5139
4765, 303840, 175.2085, 226.3612
4770, 304560, 175.2795, 227.0177
4776, 305280, 175.3591, 227.3515
4782, 306000, 175.4506, 230.2833
4788, 306720, 175.4829, 228.2941
4795, 307440, 175.5839, 228.6625
4801, 308160, 175.6665, 228.8739
4806, 308880, 175.7273, 228.6811
4812, 309600, 175.809, 231.889
4817, 310320, 175.8756, 231.7371
4824, 311040, 175.9724, 237.1948
4831, 311760, 176.0744, 237.4661
4837, 312480, 176.16, 238.0326
4842, 313200, 176.2263, 238.7272
4849, 313920, 176.3218, 238.7246
4855, 314640, 176.3802, 237.4352
4863, 315360, 176.3975, 234.0522
4869, 316080, 176.485, 234.589
4875, 316800, 176.5641, 234.6091
4881, 317520, 176.6405, 234.2581
4888, 318240, 176.7246, 236.1778
4894, 318960, 176.7992, 235.8309
4900, 319680, 176.8454, 234.1116
4906, 320400, 176.8912, 232.8271
4911, 321120, 176.952, 232.5999
4917, 321840, 177.019, 232.0977
4922, 322560, 177.0926, 232.5694
4927, 323280, 177.1692, 232.7467
4932, 324000, 177.2394, 232.8476
4939, 324720, 177.2834, 230.4083
4946, 325440, 177.3684, 230.3869
4950, 326160, 177.4262, 230.224
4956, 326880, 177.5047, 231.6845
4961, 327600, 177.5331, 234.1009
4966, 328320, 177.6028, 234.0074
4971, 329040, 177.6699, 234.4111
4976, 329760, 177.7466, 234.7193
4981, 330480, 177.8065, 234.7175
4986, 331200, 177.8793, 235.5962
4991, 331920, 177.9468, 235.5353
4997, 332640, 177.9932, 235.7816
5002, 333360, 178.0492, 237.4579
5007, 334080, 178.1125, 237.3608
5012, 334800, 178.1791, 237.8851
5016, 335520, 178.2304, 238.3911
5021, 336240, 178.3027, 238.6941
5026, 336960, 178.3735, 238.5198
5032, 337680, 178.4054, 235.9127
5037, 338400, 178.4389, 236.1962
5042, 339120, 178.5083, 237.6075
5048, 339840, 178.5042, 233.2709
5053, 340560, 178.5803, 233.6962
5058, 341280, 178.6437, 236.155
5063, 342000, 178.6982, 235.2699
5069, 342720, 178.7891, 235.7211
5074, 343440, 178.7654, 230.8472
5080, 344160, 178.7937, 228.4616
5085, 344880, 178.8618, 228.6587
5091, 345600, 178.8968, 226.3156
5099, 346320, 178.8408, 219.8515
5104, 347040, 178.8628, 218.1859
5109, 347760, 178.9201, 217.8462
5114, 348480, 178.9893, 218.2091
5118, 349200, 179.0364, 218.1422
5124, 349920, 179.1117, 217.5394
5129, 350640, 179.1331, 215.4204
5134, 351360, 179.2002, 219.6093
5139, 352080, 179.2735, 219.8509
5145, 352800, 179.3594, 220.4528
5152, 353520, 179.4048, 221.8244
5158, 354240, 179.4803, 221.7976
5163, 354960, 179.5114, 220.682
5169, 355680, 179.5899, 220.1835
5174, 356400, 179.6631, 225.2099
5179, 357120, 179.6765, 222.7837
5184, 357840, 179.7513, 225.7674
5192, 358560, 179.7708, 223.7917
5197, 359280, 179.8456, 229.8127
5202, 360000, 179.9105, 232.3653
5207, 360720, 179.9605, 234.4471
5211, 361440, 180.0262, 235.2233
5217, 362160, 180.0626, 233.225
5222, 362880, 180.1315, 233.6567
5227, 363600, 180.1783, 235.1903
5231, 364320, 180.2489, 236.1962
5238, 365040, 180.3222, 235.0955
5244, 365760, 180.3212, 230.2612
5248, 366480, 180.3639, 231.072
5252, 367200, 180.4035, 231.8567
5256, 367920, 180.4674, 232.2325
5261, 368640, 180.5411, 232.7515
5266, 369360, 180.5701, 233.2092
5271, 370080, 180.5076, 226.4322
5277, 370800, 180.5929, 227.208
5281, 371520, 180.4379, 218.434
5286, 372240, 180.4701, 216.262
5290, 372960, 180.3755, 213.2054
5296, 373680, 180.3251, 205.9225
5301, 374400, 180.4029, 206.5998
5307, 375120, 180.4201, 204.3525
5312, 375840, 180.4966, 204.3477
5316, 376560, 180.5562, 207.092
5321, 377280, 180.6016, 205.8465
5326, 378000, 180.6671, 207.1226
5331, 378720, 180.6949, 204.0253
5336, 379440, 180.7297, 203.6829
5341, 380160, 180.7287, 202.0372
5345, 380880, 180.7879, 204.4762
5349, 381600, 180.7423, 199.6194
5354, 382320, 180.8153, 200.7624
5358, 383040, 180.8787, 200.6427
5363, 383760, 180.912, 201.3233
5367, 384480, 180.9672, 204.4804
5371, 385200, 180.943, 203.8953
5375, 385920, 180.8964, 198.3407
5381, 386640, 180.9335, 207.1066
5385, 387360, 180.9981, 209.763
5390, 388080, 181.025, 215.385
5394, 388800, 181.0835, 222.7136
5399, 389520, 181.1594, 222.9911
5403, 390240, 181.2275, 226.3762
5407, 390960, 181.2962, 227.7909
5411, 391680, 181.3624, 228.2125
5418, 392400, 181.4375, 226.6638
5423, 393120, 181.5124, 228.8571
5428, 393840, 181.547, 226.9107
5431, 394560, 181.5814, 228.8428
5439, 395280, 181.5722, 224.8959
5443, 396000, 181.6421, 228.7135
5448, 396720, 181.6809, 232.8378
5453, 397440, 181.7612, 233.0302
5457, 398160, 181.8256, 233.3759
5461, 398880, 181.8944, 236.4906
5465, 399600, 181.9237, 234.807
5469, 400320, 181.9918, 239.5082
5474, 401040, 182.0333, 239.8074
5478, 401760, 182.0966, 244.5239
5482, 402480, 182.1668, 247.4494
5487, 403200, 182.2247, 249.1265
5490, 403920, 182.2761, 249.7097
5495, 404640, 182.3203, 248.1311
5499, 405360, 182.3061, 244.2196
5503, 406080, 182.3254, 241.6464
5507, 406800, 182.3999, 242.0734
5511, 407520, 182.4731, 242.5707
5515, 408240, 182.5095, 243.0787
5519, 408960, 182.5808, 243.6691
5524, 409680, 182.6562, 245.2048
5530, 410400, 182.5812, 237.7259
