episode,timestep,reward, averagate_reward_100
88, 960, 15.4814, 15.4814
149, 1920, 18.2174, 19.0303
185, 2880, 21.6922, 26.9445
215, 3840, 24.6322, 33.3891
228, 4800, 26.5762, 38.7584
240, 5760, 29.094, 44.9581
249, 6720, 30.7388, 49.3958
257, 7680, 32.2472, 52.9211
263, 8640, 33.6101, 55.2874
270, 9600, 34.9719, 59.0971
274, 10560, 35.9725, 61.7079
280, 11520, 37.3186, 65.6173
286, 12480, 38.3254, 68.8995
294, 13440, 40.1104, 73.9796
303, 14400, 40.9564, 76.648
309, 15360, 41.9116, 79.3604
315, 16320, 43.1274, 82.8919
319, 17280, 43.9729, 84.9521
326, 18240, 44.4319, 86.3726
334, 19200, 45.1196, 85.2631
339, 20160, 45.9038, 86.6412
344, 21120, 46.7656, 87.1851
349, 22080, 47.8211, 90.356
356, 23040, 48.6746, 91.3573
362, 24000, 49.6861, 92.0093
371, 24960, 50.5716, 91.9915
376, 25920, 51.1995, 92.3225
381, 26880, 51.9983, 92.7374
386, 27840, 53.1977, 95.7326
391, 28800, 53.8899, 95.8098
395, 29760, 54.7368, 97.8267
401, 30720, 55.2635, 98.9268
412, 31680, 55.8052, 97.3257
424, 32640, 55.7186, 93.1427
428, 33600, 56.4415, 94.6275
436, 34560, 56.861, 95.2501
440, 35520, 57.7392, 97.594
449, 36480, 58.2001, 94.4226
458, 37440, 58.4972, 91.9355
463, 38400, 59.2436, 93.4326
468, 39360, 59.9382, 95.1958
472, 40320, 60.5378, 96.9262
477, 41280, 61.2292, 97.9789
483, 42240, 61.9065, 98.2309
497, 43200, 62.7405, 92.8014
514, 44160, 62.6398, 90.4727
527, 45120, 63.2444, 93.6059
543, 46080, 63.4246, 86.2573
558, 47040, 63.3494, 85.5725
571, 48000, 63.1387, 76.352
588, 48960, 63.1047, 66.5657
600, 49920, 63.2947, 66.9026
607, 50880, 63.723, 68.8373
619, 51840, 64.4577, 71.6999
634, 52800, 64.8018, 72.8755
651, 53760, 64.9129, 73.286
660, 54720, 65.3518, 76.4402
665, 55680, 65.6072, 78.8957
674, 56640, 66.0844, 81.0526
682, 57600, 66.2976, 84.188
690, 58560, 66.6145, 87.5792
699, 59520, 66.9627, 89.1099
703, 60480, 67.1392, 88.9924
711, 61440, 67.3068, 85.802
719, 62400, 67.7033, 87.7935
726, 63360, 68.2074, 89.003
733, 64320, 68.7734, 93.9155
739, 65280, 69.5612, 97.7452
752, 66240, 69.9249, 102.0878
759, 67200, 70.4913, 104.4484
765, 68160, 71.3591, 109.6094
771, 69120, 72.1064, 113.6483
777, 70080, 72.7759, 118.1355
784, 71040, 73.4015, 121.2268
788, 72000, 73.9677, 124.8198
797, 72960, 74.3065, 126.3853
806, 73920, 74.2346, 124.1189
812, 74880, 74.3215, 123.6825
820, 75840, 74.417, 121.4301
828, 76800, 74.8679, 121.7619
837, 77760, 75.2849, 118.4895
846, 78720, 75.5987, 118.2676
855, 79680, 75.8954, 119.1736
862, 80640, 76.2579, 116.6987
871, 81600, 76.9544, 114.3325
878, 82560, 77.5963, 113.5071
884, 83520, 78.3854, 117.4591
892, 84480, 78.8423, 115.6812
896, 85440, 79.307, 118.7685
902, 86400, 79.6673, 122.3315
909, 87360, 80.2156, 128.64
915, 88320, 80.6867, 132.5319
926, 89280, 80.8953, 131.3877
933, 90240, 81.1878, 132.5568
943, 91200, 81.7035, 133.8428
953, 92160, 82.1522, 135.6115
962, 93120, 82.7962, 139.1561
974, 94080, 83.1494, 134.6746
983, 95040, 83.6801, 131.6786
996, 96000, 83.8766, 124.8198
1004, 96960, 84.4238, 125.8742
1011, 97920, 84.8488, 125.3298
1018, 98880, 85.1114, 124.1826
1029, 99840, 85.4231, 125.1387
1040, 100800, 85.6708, 125.2715
1047, 101760, 85.9975, 125.1522
1054, 102720, 86.1941, 123.3107
1068, 103680, 86.3649, 118.5521
1076, 104640, 86.4766, 117.7971
1087, 105600, 86.685, 116.2709
1101, 106560, 86.578, 113.6383
1110, 107520, 86.7387, 105.3854
1130, 108480, 86.3011, 94.2797
1149, 109440, 85.9107, 84.7671
1158, 110400, 86.2937, 85.1489
1169, 111360, 86.394, 86.3923
1182, 112320, 86.3831, 84.9717
1192, 113280, 86.4804, 84.0536
1208, 114240, 86.3032, 81.5309
1219, 115200, 86.4115, 84.9681
1238, 116160, 86.0315, 85.0002
1250, 117120, 86.2059, 88.2096
1256, 118080, 86.5326, 90.7239
1272, 119040, 86.3124, 84.4676
1281, 120000, 86.4395, 86.5742
1290, 120960, 86.662, 88.5639
1296, 121920, 86.8556, 89.5468
1303, 122880, 86.8891, 91.8431
1310, 123840, 87.1174, 94.9631
1320, 124800, 87.1538, 95.4467
1332, 125760, 87.0552, 97.1815
1342, 126720, 87.2855, 101.556
1347, 127680, 87.4441, 102.4249
1359, 128640, 87.2932, 97.1763
1368, 129600, 87.2934, 100.5445
1373, 130560, 87.5333, 103.1567
1385, 131520, 87.4284, 99.9195
1390, 132480, 87.5622, 99.1751
1402, 133440, 87.4553, 95.4604
1422, 134400, 86.9592, 84.9027
1437, 135360, 86.6911, 79.4223
1453, 136320, 86.4068, 72.3418
1466, 137280, 86.2734, 71.3219
1476, 138240, 86.184, 67.6357
1490, 139200, 86.1092, 65.9124
1501, 140160, 86.0257, 65.8372
1508, 141120, 85.9971, 67.9079
1518, 142080, 85.8776, 69.9724
1532, 143040, 85.6868, 70.142
1538, 144000, 85.7763, 71.9665
1549, 144960, 85.7037, 73.9197
1556, 145920, 85.6684, 75.6967
1565, 146880, 85.7155, 78.4726
1572, 147840, 85.7103, 76.8792
1578, 148800, 85.7142, 79.2073
1585, 149760, 85.7794, 79.4359
1590, 150720, 85.8796, 82.4593
1600, 151680, 85.7818, 82.3
1607, 152640, 85.8708, 83.398
1611, 153600, 85.9265, 84.6599
1621, 154560, 85.908, 85.9816
1625, 155520, 85.9846, 87.5591
1630, 156480, 86.0342, 90.514
1635, 157440, 86.0761, 91.5333
1639, 158400, 86.1546, 91.5511
1645, 159360, 86.1733, 93.7871
1651, 160320, 86.1264, 92.5093
1659, 161280, 86.0651, 92.2101
1665, 162240, 85.998, 90.4202
1672, 163200, 85.9837, 90.2806
1679, 164160, 85.9168, 88.6559
1685, 165120, 85.9238, 88.2132
1690, 166080, 85.8905, 86.0626
