episode,total_steps,episode_reward,episode_length
1,0,10.0,1
2,4,-0.11031752372430016,1
3,8,10.0,1
4,12,-2.881634900141636,1
5,16,10.0,1
6,20,-0.20085722360989933,1
7,24,0.3178233949442659,1
8,28,0.5918572049102104,1
9,32,-0.8769161831309202,1
10,36,10.0,1
11,40,-1.7010791296743972,1
12,44,3.0644712349394627,1
13,48,-3.1477280459163373,1
14,52,10.0,1
15,56,0.0,1
16,60,0.0,1
17,64,0.0,1
18,68,0.0,1
19,72,0.0,1
20,76,0.0,1
21,80,0.0,1
22,84,0.0,1
23,88,0.0,1
24,92,0.0,1
25,96,0.0,1
26,100,0.0,1
27,104,0.0,1
28,108,0.0,1
29,112,0.0,1
30,116,-4.168842681678527,30
31,116,0.0,1
32,120,0.0,1
33,120,-3.8204052278407366,31
34,124,0.0,1
35,128,0.0,1
36,132,0.0,1
37,136,0.0,1
38,140,0.0,1
39,144,0.0,1
40,148,0.0,1
41,152,0.0,1
42,156,0.0,1
43,160,0.0,1
44,164,0.0,1
45,168,0.0,1
46,172,0.0,1
47,176,0.0,1
48,180,0.0,1
49,184,0.0,1
50,188,0.0,1
51,192,0.0,1
52,196,3.9343686970244853,20
53,196,0.0,1
54,200,0.0,1
55,204,0.0,1
56,208,4.671540705245488,53
57,208,0.0,1
58,212,0.0,1
59,216,0.0,1
60,220,0.0,1
61,224,0.0,1
62,228,0.0,1
63,232,0.0,1
64,236,0.0,1
65,240,0.0,1
66,244,0.0,1
67,248,0.0,1
68,252,0.0,1
69,256,0.0,1
70,260,0.0,1
71,264,0.0,1
72,268,0.0,1
73,272,0.0,1
74,276,0.0,1
75,280,0.0,1
76,284,0.0,1
77,288,0.0,1
78,292,0.0,1
79,296,1.3353508251317252,22
80,296,0.0,1
81,300,0.0,1
82,304,0.0,1
83,308,0.0,1
84,312,0.0,1
85,316,0.0,1
86,320,6.6611230769172725,31
87,320,0.0,1
88,324,0.0,1
89,328,0.0,1
90,332,0.0,1
91,336,0.0,1
92,340,0.0,1
93,344,0.0,1
94,348,0.0,1
95,352,0.0,1
96,356,0.0,1
97,360,0.0,1
98,364,0.0,1
99,368,0.0,1
100,372,0.0,1
101,376,0.0,1
102,380,0.0,1
103,384,0.0,1
104,384,-0.11815789908636404,66
105,388,0.0,1
106,388,10.0,1
107,392,0.0,1
108,392,5.047823633377419,1
109,396,0.0,1
110,396,-0.14168007662163173,1
111,400,0.0,1
112,400,10.0,1
113,404,0.0,1
114,404,10.0,1
115,408,0.0,1
116,408,0.5918530337012594,1
117,412,0.0,1
118,412,0.30937584513454436,1
119,416,0.0,1
120,416,-0.16139955321983077,1
121,420,0.0,1
122,420,0.9370545768164517,1
123,424,0.0,1
124,424,1.4007644959205934,1
125,428,0.0,1
126,428,-1.4169785455877075,1
127,432,0.0,1
128,432,-0.9372967149270299,1
129,436,0.0,1
130,436,10.0,1
131,440,0.0,1
132,440,-0.9298906955838959,1
133,444,0.0,1
134,444,-1.5753160358145468,1
135,448,0.0,1
136,448,3.4498492755435652,1
137,452,0.0,1
138,452,0.2724606171322832,1
139,456,0.0,1
140,456,-0.020704719986450477,1
141,460,0.0,1
142,460,-1.892969720156043,1
143,464,10.622562414589988,36
144,464,0.0,1
145,464,-0.9349611083238896,1
146,468,0.0,1
147,468,0.7030976177076658,1
148,472,0.0,1
149,472,10.0,1
150,476,0.0,1
151,476,0.0,1
152,480,0.0,1
153,480,0.0,1
154,484,0.0,1
155,484,0.0,1
156,488,0.0,1
157,488,0.0,1
158,492,0.0,1
159,492,0.0,1
160,496,0.0,1
161,496,0.0,1
162,500,0.0,1
163,500,0.0,1
164,504,0.0,1
165,504,0.0,1
166,508,0.0,1
167,508,0.0,1
168,512,0.0,1
169,512,0.0,1
170,516,0.0,1
171,516,0.0,1
172,520,0.0,1
173,520,0.0,1
174,524,0.0,1
175,524,0.0,1
176,528,0.0,1
177,528,0.0,1
178,532,0.0,1
179,532,0.0,1
180,536,0.0,1
181,536,0.0,1
182,540,0.0,1
183,540,0.0,1
184,544,0.0,1
185,544,0.0,1
186,548,0.0,1
187,548,0.0,1
188,552,0.0,1
189,552,0.0,1
190,556,0.0,1
191,556,0.0,1
192,560,0.0,1
193,560,0.0,1
194,564,0.0,1
195,564,0.0,1
196,568,0.0,1
197,568,0.0,1
198,572,0.0,1
199,572,0.0,1
200,576,0.0,1
201,576,0.0,1
202,580,0.0,1
203,580,0.0,1
204,584,0.0,1
205,584,0.0,1
206,588,0.0,1
