episode,timestep,reward, averagate_reward_100
76, 960, 18.2945, 18.2945
128, 1920, 21.1559, 22.1661
160, 2880, 24.9077, 29.3307
185, 3840, 27.7441, 35.2254
203, 4800, 30.0149, 40.1817
220, 5760, 32.5899, 46.6153
236, 6720, 34.756, 51.7362
245, 7680, 36.5427, 55.7198
255, 8640, 38.5937, 60.6264
263, 9600, 40.0757, 64.0027
276, 10560, 42.3106, 69.2548
284, 11520, 44.3462, 75.1369
292, 12480, 45.8796, 79.0105
300, 13440, 47.9715, 84.3691
308, 14400, 50.123, 90.1272
316, 15360, 51.7076, 94.0628
326, 16320, 53.5341, 99.0383
334, 17280, 55.3186, 104.1644
342, 18240, 56.7774, 107.2913
349, 19200, 58.3891, 111.5061
357, 20160, 59.8068, 113.1593
364, 21120, 61.6288, 118.1081
371, 22080, 63.2122, 121.0444
377, 23040, 64.5235, 125.0859
385, 24000, 65.8139, 126.3733
392, 24960, 66.8037, 127.9021
399, 25920, 67.9238, 128.3794
405, 26880, 69.0541, 129.351
411, 27840, 70.8448, 133.1959
419, 28800, 71.8601, 134.3777
424, 29760, 73.0719, 137.5908
430, 30720, 74.1711, 138.839
434, 31680, 75.2393, 141.7742
439, 32640, 75.8945, 141.9362
446, 33600, 77.122, 144.6164
451, 34560, 77.9495, 146.1694
456, 35520, 79.1781, 148.8258
463, 36480, 80.7157, 151.3192
468, 37440, 82.2293, 155.0829
474, 38400, 83.4049, 156.2339
480, 39360, 85.024, 161.0467
487, 40320, 86.9965, 167.702
492, 41280, 88.3741, 172.93
499, 42240, 90.1338, 178.752
503, 43200, 91.6817, 184.368
508, 44160, 93.2507, 188.0627
512, 45120, 94.758, 192.6951
517, 46080, 96.2255, 199.0119
522, 47040, 98.0734, 206.2763
526, 48000, 99.3017, 209.7914
530, 48960, 100.5099, 213.767
534, 49920, 101.2246, 214.0009
538, 50880, 102.2643, 218.0503
542, 51840, 102.9537, 220.801
546, 52800, 103.6233, 221.8195
550, 53760, 104.5693, 225.0776
554, 54720, 105.5612, 227.5193
559, 55680, 107.2579, 232.9941
563, 56640, 108.555, 237.451
567, 57600, 109.6035, 239.4542
572, 58560, 110.9815, 242.0109
577, 59520, 112.1578, 245.1914
581, 60480, 113.504, 248.5247
586, 61440, 114.8163, 250.9887
592, 62400, 116.0339, 252.1202
596, 63360, 117.513, 256.3806
600, 64320, 118.736, 259.3913
605, 65280, 119.9329, 258.6268
611, 66240, 120.8954, 256.5107
615, 67200, 122.0119, 258.1653
620, 68160, 123.4507, 259.7578
625, 69120, 124.7084, 259.315
630, 70080, 125.6876, 259.129
634, 71040, 126.7675, 263.1669
639, 72000, 127.5206, 262.7303
645, 72960, 128.167, 263.1185
651, 73920, 129.0654, 262.9598
656, 74880, 129.9445, 262.9396
662, 75840, 130.7507, 257.4682
667, 76800, 131.3261, 254.4931
673, 77760, 132.1398, 253.8938
678, 78720, 133.0034, 251.71
683, 79680, 134.2092, 252.3967
687, 80640, 135.1963, 252.5789
691, 81600, 136.326, 258.1934
695, 82560, 137.4392, 258.1044
699, 83520, 138.6276, 260.1263
703, 84480, 139.4021, 260.7357
708, 85440, 140.6395, 262.6385
712, 86400, 141.5516, 266.8169
716, 87360, 142.5815, 267.2748
720, 88320, 143.5235, 267.9746
724, 89280, 144.2206, 268.2901
729, 90240, 145.2582, 269.4174
733, 91200, 146.1942, 270.1804
738, 92160, 146.952, 272.8987
742, 93120, 147.8086, 275.7533
747, 94080, 148.5692, 278.6278
752, 95040, 149.2989, 280.4898
758, 96000, 149.7198, 278.2266
762, 96960, 150.467, 280.9891
767, 97920, 151.553, 286.4661
771, 98880, 152.2699, 290.3401
776, 99840, 153.1822, 292.6579
781, 100800, 153.8965, 290.7899
786, 101760, 154.6546, 288.6995
791, 102720, 155.0265, 284.2469
796, 103680, 155.8615, 281.9939
800, 104640, 156.8184, 282.0873
804, 105600, 157.5649, 283.4135
809, 106560, 158.393, 282.1541
813, 107520, 159.0086, 281.84
817, 108480, 159.8606, 281.7735
823, 109440, 160.5986, 279.1134
829, 110400, 161.0189, 275.9147
833, 111360, 161.6426, 274.8794
839, 112320, 162.1561, 273.3822
845, 113280, 162.2489, 266.9444
850, 114240, 163.0956, 266.369
854, 115200, 163.781, 270.8659
858, 116160, 164.5312, 276.8016
863, 117120, 164.9756, 273.6743
868, 118080, 165.7083, 273.6987
872, 119040, 166.1606, 271.3542
876, 120000, 166.8377, 272.8049
880, 120960, 167.4993, 275.6288
885, 121920, 168.2155, 276.3597
889, 122880, 168.7587, 278.0326
893, 123840, 169.3268, 279.101
897, 124800, 169.9356, 280.1104
901, 125760, 170.478, 278.368
905, 126720, 171.1605, 279.2432
909, 127680, 171.7669, 279.9617
914, 128640, 172.4793, 280.2118
918, 129600, 172.9699, 278.6061
922, 130560, 173.4732, 280.0331
926, 131520, 174.0568, 281.9315
930, 132480, 174.5715, 286.1053
934, 133440, 175.0637, 285.4523
939, 134400, 175.468, 287.1547
944, 135360, 176.0026, 292.473
949, 136320, 176.597, 292.9727
953, 137280, 177.0527, 291.4881
957, 138240, 177.6408, 291.5294
962, 139200, 177.98, 289.2058
966, 140160, 178.5697, 291.6739
970, 141120, 179.2212, 294.4688
975, 142080, 179.716, 294.0006
979, 143040, 180.3715, 295.0009
986, 144000, 180.6895, 290.0274
991, 144960, 181.1179, 288.5425
996, 145920, 181.4858, 286.2497
1003, 146880, 181.3981, 277.0145
1008, 147840, 182.0143, 276.7002
1012, 148800, 182.6283, 277.8799
1020, 149760, 182.6136, 269.2134
1025, 150720, 182.9425, 266.2587
1032, 151680, 183.1092, 260.5953
1039, 152640, 183.302, 256.8635
1048, 153600, 183.146, 246.416
1053, 154560, 183.4442, 244.3552
1058, 155520, 183.8956, 243.7387
1065, 156480, 184.0019, 237.6818
1073, 157440, 183.6964, 223.085
1079, 158400, 184.217, 221.8639
1085, 159360, 184.3009, 219.7045
1091, 160320, 184.7032, 220.2325
1097, 161280, 184.6792, 215.3054
1104, 162240, 184.8817, 218.3636
1112, 163200, 184.7439, 206.1545
1118, 164160, 184.9267, 208.3148
1124, 165120, 185.308, 207.9702
1130, 166080, 185.5779, 212.3542
1136, 167040, 185.9029, 212.9897
1142, 168000, 186.1442, 218.5438
1148, 168960, 186.2149, 218.3769
1153, 169920, 186.7346, 221.3817
1157, 170880, 187.0648, 219.617
1164, 171840, 187.2849, 220.6823
1168, 172800, 187.5573, 226.4843
1173, 173760, 188.0345, 234.5823
1181, 174720, 188.032, 230.6203
1185, 175680, 188.4018, 232.897
1189, 176640, 188.9344, 236.0907
1193, 177600, 189.4784, 242.496
1199, 178560, 189.8694, 246.4101
1204, 179520, 189.9874, 246.3541
1208, 180480, 190.4549, 250.6123
1212, 181440, 190.9267, 259.6794
1219, 182400, 191.0083, 257.1533
1224, 183360, 191.5232, 261.3821
1228, 184320, 192.0492, 267.9703
1234, 185280, 192.0439, 261.2821
1239, 186240, 192.6277, 270.2704
1243, 187200, 193.1449, 271.7368
1247, 188160, 193.3941, 274.61
1251, 189120, 193.8806, 278.944
1255, 190080, 194.3322, 281.2751
1259, 191040, 194.7791, 282.0654
1264, 192000, 194.9926, 284.7106
1273, 192960, 194.8885, 275.2851
1278, 193920, 195.2514, 282.3313
1282, 194880, 195.6979, 286.0472
1287, 195840, 196.0433, 283.6203
1296, 196800, 195.686, 264.9867
1303, 197760, 195.6765, 265.6441
1308, 198720, 195.7722, 260.0059
1312, 199680, 196.2237, 260.4234
1317, 200640, 196.53, 262.7153
1323, 201600, 196.7543, 262.0232
1328, 202560, 197.1583, 259.8982
1332, 203520, 197.5741, 265.3746
1337, 204480, 197.9244, 266.7201
1341, 205440, 198.3768, 266.5991
1346, 206400, 198.6929, 263.3441
1351, 207360, 198.9548, 262.4334
1356, 208320, 199.2486, 259.5416
1360, 209280, 199.732, 260.8175
1365, 210240, 200.0183, 261.826
1369, 211200, 200.5011, 268.2686
1373, 212160, 200.9625, 278.2848
1377, 213120, 201.3823, 280.9269
1381, 214080, 201.8155, 281.4792
1385, 215040, 202.2539, 285.1685
1394, 216000, 202.0047, 283.8882
1399, 216960, 202.301, 290.969
1404, 217920, 202.5835, 291.2508
1409, 218880, 202.8365, 293.9616
1414, 219840, 202.907, 290.8796
1420, 220800, 203.0075, 287.0349
1427, 221760, 203.04, 280.5731
1433, 222720, 202.8001, 270.9528
1439, 223680, 202.8255, 265.4757
1444, 224640, 203.0439, 261.174
1453, 225600, 202.8128, 252.6514
1457, 226560, 203.1694, 254.6232
1463, 227520, 203.2136, 246.3674
1469, 228480, 203.132, 239.1499
1473, 229440, 203.4183, 237.1361
1479, 230400, 203.6266, 231.3453
1483, 231360, 203.7835, 228.0497
1488, 232320, 204.1192, 232.0968
1494, 233280, 204.1277, 233.7232
1498, 234240, 204.4492, 232.5338
1504, 235200, 204.443, 230.5507
1508, 236160, 204.6869, 232.2461
1512, 237120, 204.8839, 235.5005
1517, 238080, 204.9279, 233.1683
1523, 239040, 205.0299, 232.3533
1528, 240000, 205.0837, 236.2241
1533, 240960, 205.1388, 238.652
1538, 241920, 205.3439, 239.62
1545, 242880, 205.3712, 237.3364
1549, 243840, 205.5266, 244.322
1557, 244800, 205.3408, 236.9786
1562, 245760, 205.5205, 240.1542
1567, 246720, 205.7396, 241.0304
1571, 247680, 205.8186, 243.0405
1575, 248640, 206.006, 241.0843
1582, 249600, 206.0654, 238.8486
1586, 250560, 206.1734, 238.2424
1592, 251520, 206.215, 239.2239
1597, 252480, 206.5194, 238.5238
1601, 253440, 206.8515, 242.0747
1605, 254400, 207.095, 246.0128
1609, 255360, 207.4651, 248.9715
1615, 256320, 207.717, 248.3118
1619, 257280, 208.0475, 253.895
1623, 258240, 208.383, 259.4509
1628, 259200, 208.5947, 262.242
1633, 260160, 208.7446, 264.0222
1638, 261120, 208.9488, 264.3918
1642, 262080, 209.2235, 269.0185
1647, 263040, 209.5895, 274.3712
1652, 264000, 209.8424, 277.0026
1657, 264960, 210.099, 284.1837
1661, 265920, 210.3667, 286.754
1665, 266880, 210.6448, 289.232
1669, 267840, 210.9549, 293.4583
1673, 268800, 211.2073, 294.1265
1678, 269760, 211.5264, 298.1649
1682, 270720, 211.7835, 302.2429
1686, 271680, 212.0785, 305.7335
1690, 272640, 212.3745, 312.0866
1694, 273600, 212.5852, 312.5331
1698, 274560, 212.8426, 312.7638
1703, 275520, 213.0489, 309.4525
1707, 276480, 213.3144, 310.4615
1711, 277440, 213.576, 309.2256
1716, 278400, 213.7185, 309.7517
1720, 279360, 213.9806, 308.7054
1726, 280320, 213.9826, 304.4828
1731, 281280, 214.1906, 302.877
1736, 282240, 214.3453, 305.3344
1741, 283200, 214.5326, 303.1095
1745, 284160, 214.7732, 301.8239
1750, 285120, 214.8807, 298.4915
1755, 286080, 215.048, 296.9513
1761, 287040, 215.1065, 293.8342
1765, 288000, 215.3734, 294.1041
1769, 288960, 215.6516, 294.0397
1775, 289920, 215.8101, 290.3718
1779, 290880, 216.0525, 290.4574
1784, 291840, 216.2041, 288.1996
1788, 292800, 216.4408, 287.4692
1792, 293760, 216.6841, 286.8488
1798, 294720, 216.5297, 279.1367
1803, 295680, 216.7199, 279.2372
1809, 296640, 216.7947, 273.934
1815, 297600, 216.814, 270.5278
1819, 298560, 217.0035, 270.1261
1823, 299520, 217.2782, 274.4432
1831, 300480, 217.1084, 267.6155
1835, 301440, 217.2652, 266.0783
1841, 302400, 217.2633, 264.806
1846, 303360, 217.4468, 262.8562
1852, 304320, 217.5321, 261.9876
1859, 305280, 217.4382, 259.8491
1866, 306240, 217.3863, 252.0192
1870, 307200, 217.4933, 248.8444
1875, 308160, 217.6221, 249.7847
1879, 309120, 217.8109, 249.093
1884, 310080, 217.8732, 247.65
1888, 311040, 218.1003, 247.772
1893, 312000, 218.1774, 246.9132
1898, 312960, 218.3316, 250.7301
1902, 313920, 218.5766, 250.7754
1906, 314880, 218.755, 252.1533
1910, 315840, 218.9786, 259.3454
