episode,timestep,reward, averagate_reward_100
151, 960, 9.4328, 9.4869
257, 1920, 11.0987, 13.5628
339, 2880, 12.5822, 16.5509
398, 3840, 14.1912, 21.4
448, 4800, 15.7037, 25.735
492, 5760, 17.0065, 28.3141
531, 6720, 18.2708, 31.2556
566, 7680, 19.506, 34.9656
602, 8640, 20.72, 37.6661
632, 9600, 21.7484, 40.0964
658, 10560, 22.9157, 43.6047
680, 11520, 23.9565, 46.7936
704, 12480, 25.0823, 50.9589
725, 13440, 26.1494, 55.3093
749, 14400, 27.0123, 56.2548
771, 15360, 27.6748, 56.3655
791, 16320, 28.3895, 55.0926
813, 17280, 29.1037, 53.9008
837, 18240, 29.671, 53.1111
852, 19200, 30.4923, 55.5771
870, 20160, 31.1184, 57.6069
887, 21120, 31.9685, 60.8639
908, 22080, 32.6612, 62.4529
923, 23040, 33.36, 66.0193
942, 24000, 34.0358, 68.6826
960, 24960, 34.7348, 68.8666
975, 25920, 35.4065, 70.2082
994, 26880, 36.0466, 70.6835
1009, 27840, 36.6477, 72.1128
1028, 28800, 36.9543, 68.4759
1048, 29760, 37.6098, 69.5744
1061, 30720, 38.2737, 72.133
1077, 31680, 38.7584, 70.8806
1092, 32640, 39.3587, 73.123
1106, 33600, 39.9631, 74.2829
1127, 34560, 40.5653, 77.6471
1141, 35520, 41.1958, 80.8465
1158, 36480, 41.7618, 79.9652
1167, 37440, 42.2135, 81.7107
1183, 38400, 42.697, 83.3434
1198, 39360, 43.1203, 82.369
1212, 40320, 43.4285, 79.7705
1230, 41280, 43.8099, 79.4661
1249, 42240, 44.2179, 76.5379
1265, 43200, 44.7394, 74.9193
1280, 44160, 45.1882, 76.2301
1293, 45120, 45.5373, 75.313
1304, 46080, 45.8467, 76.0756
1312, 47040, 46.0841, 78.2705
1322, 48000, 46.471, 80.6497
1332, 48960, 46.7692, 82.4292
1342, 49920, 47.0612, 84.1196
1351, 50880, 47.3496, 86.1647
1363, 51840, 47.7025, 85.9004
1375, 52800, 48.1159, 87.39
1381, 53760, 48.3824, 88.8631
1390, 54720, 48.5784, 87.7686
1399, 55680, 48.7699, 88.7786
1406, 56640, 48.989, 89.5144
1412, 57600, 49.2381, 90.6187
1418, 58560, 49.4695, 91.0957
1426, 59520, 49.7749, 90.9608
1434, 60480, 50.0398, 92.8338
1438, 61440, 50.1932, 93.442
1443, 62400, 50.4337, 95.0037
1448, 63360, 50.6569, 96.8345
1453, 64320, 50.923, 98.7476
1458, 65280, 51.1492, 100.7482
1463, 66240, 51.305, 100.4076
1471, 67200, 51.5679, 99.4822
1481, 68160, 51.7226, 97.85
1490, 69120, 51.8705, 97.6306
1496, 70080, 52.0223, 98.4301
1503, 71040, 52.2085, 98.1632
1512, 72000, 52.3631, 96.4882
1517, 72960, 52.5713, 96.4752
1524, 73920, 52.7853, 96.9966
1531, 74880, 53.0575, 98.1637
1537, 75840, 53.2266, 97.3972
1544, 76800, 53.4163, 96.0466
1553, 77760, 53.6237, 92.8653
1559, 78720, 53.854, 92.8297
1566, 79680, 54.1027, 93.5088
1573, 80640, 54.3324, 94.2635
1580, 81600, 54.6713, 97.93
1589, 82560, 54.9289, 100.7867
1594, 83520, 55.2752, 104.0601
1598, 84480, 55.4993, 106.7681
1605, 85440, 55.8176, 109.2205
1611, 86400, 56.019, 111.2547
1616, 87360, 56.2506, 112.2314
1622, 88320, 56.4381, 112.8682
1627, 89280, 56.7338, 114.6681
1631, 90240, 56.9655, 116.797
1637, 91200, 57.2876, 119.7067
1646, 92160, 57.4409, 118.8184
1654, 93120, 57.7022, 119.9886
1663, 94080, 57.9865, 121.185
