evaluation_step,average_reward
1,0.379154246331168
2,0.9377429564918431
3,1.1769131838955922
4,1.4067818235745442
5,1.4709895721364281
6,1.5185527883580003
7,1.3050844057027757
8,1.6889431442860112
9,1.5735200938062368
10,0.07468454532560084
11,0.7061597777870098
12,0.07475325677969066
13,0.11384304636882672
14,0.08739822239372186
15,0.07487574536969022
16,0.08017182012415605
17,0.07483627453909208
18,0.07958138609373186
19,0.07484368779173595
20,0.07480368958358137
21,0.07480444273100449
22,0.0747938264833006
23,0.07479219990241681
24,0.0747716078164933
25,0.07478988377550826
26,0.07478748448373185
27,0.07477959751159041
28,0.07479240057267181
29,0.07478881306998963
30,0.07478181934442286
31,0.07477906343682335
32,0.07478506012068431
33,0.07478266446956783
34,0.07491397902376407
35,0.18249814667541922
36,0.29303573416859663
37,0.4380329477584225
38,1.1438469934271076
39,1.1250379784459217
40,2.1404239600517365
41,2.209888171751021
42,2.1334289442871848
43,3.1695754736472037
44,3.1062532743518307
45,2.9655619989966335
46,3.1242953140173864
47,2.9140417454546315
48,3.010157371893782
49,3.2341428251571585
50,3.3318482508766736
51,3.3647340570121314
52,3.3087422080641344
53,3.242944268497264
54,3.250831320971411
55,3.291873758093723
56,2.2685665322824846
57,4.756141544056838
58,4.4963491967710025
59,-77.3726370168464
60,7.271017835715995
61,-34.14941624849897
62,-14.451867133688273
63,-5.7818097847026975
64,-17.010917770850916
65,4.260098668315299
66,-6.34177774529082
67,-48.14026649116116
68,-48.80656718826344
69,-17.129258370643747
70,3.9652958014495603
71,2.939330732158717
72,2.199001935123462
73,2.6025880954455967
74,2.092273499353872
75,1.290444571417873
76,1.378850705353011
77,1.3523351503330612
78,1.3543297375423569
79,1.345020387748151
80,2.2422953924906066
81,1.9876674577329794
82,0.09929911058643273
83,0.0869558792590866
84,0.08682554999325492
85,0.08671341777941248
86,0.08668305122019929
87,0.07454409268199118
88,0.09886896179580165
89,0.09892692919307845
90,0.11064117170263235
91,0.11036061106903325
92,0.09859967082894722
93,0.11041683583736364
94,0.11071427842424345
95,0.11104781138055486
96,3.5074294446500587
97,3.2158250589520527
98,2.817553712665404
99,2.8947737124790023
100,2.950106318700936
101,3.006774066757634
102,5.238437264615214
103,8.435883116250062
104,9.354872096998347
105,10.784422314320821
106,15.071029770228407
107,21.77127199751341
108,20.621181444694425
109,25.829131698933878
110,44.857321144190294
111,77.73641730312649
112,165.86024313015525
113,108.67595941463492
114,186.7242144208864
115,182.86611280061365
116,188.4815345419023
117,186.47672144349352
118,153.6043122258528
119,192.55963582509406
120,169.63025232958262
121,191.8328268514138
122,189.4437001791917
123,171.08652764979195
124,196.67575011383454
125,190.7659099384588
126,194.19934079240446
127,191.6673361264732
128,190.60625979667452
129,191.06260377290195
130,190.4548794915777
131,193.16646238111647
132,193.4889077131317
133,188.9223341490997
134,191.92978772941316
135,195.93315394918633
136,191.14692947701036
137,192.73009835784597
138,191.34557421894468
139,193.68212620929881
140,193.63893622626014
141,194.27890574717244
142,200.4814117683652
143,199.2454698311417
144,198.12369897664928
145,167.60008311548216
146,166.0617775737642
147,164.5174682455183
148,193.3144324883153
149,196.52671188164115
150,191.06978786228802
151,195.55782613731068
152,191.394915280044
153,193.10380652908856
154,194.7028750663334
155,194.7786382294442
156,191.22882282955095
157,195.84737157798298
158,192.94818744288713
159,194.6530614433184
160,196.73240722272263
161,189.31209487596468
162,190.39193800231834
163,188.2952347576611
164,146.0808738131444
165,64.69837206679216
166,191.26459391607102
167,191.93433936317854
168,180.4868132545459
169,177.7116720223871
170,181.86924399245095
171,183.50859928497945
172,190.39890197913215
173,167.41824838571802
174,165.65634372809382
175,151.05105817925798
176,202.05027423992084
177,177.81328048131695
178,197.7728096843967
179,195.07269480567845
180,193.11291511086912
181,190.79604936613816
182,194.23500302565387
183,190.97170622297793
184,195.46340616583302
185,193.1068423058267
186,194.31989395318098
187,193.8880241128439
188,190.61567480295398
189,191.90274090670835
190,191.5928930447349
191,189.63573232060125
192,188.18408840209779
193,187.20874199282156
194,201.63474930506956
195,175.24850280508892
196,173.53006935165004
197,185.017026631511
198,192.8774955426379
199,192.6419628414466
200,193.58513897857034
