episode,reward
1,16.267787594173164
2,19.73100282257378
3,19.920750912922273
4,19.364289819110766
5,25.275257014349627
6,26.47337278971816
7,28.18797054674006
8,30.41063815503963
9,31.217003426578948
10,29.963624364728943
11,32.1535985251379
12,31.503415510974676
13,31.399984113479746
14,31.607018771968274
15,28.378116179219408
16,34.76439982613998
17,31.8092944986926
18,19.84330436364812
19,16.314453276251623
20,14.523631830225142
21,12.725559557258652
22,10.928118507291188
23,10.931485634076084
24,10.933108971599454
25,9.117165396433421
26,9.120447679824824
27,9.118046712526716
28,9.113431114243594
29,9.119611149774881
30,9.115314796256701
31,9.11687164962079
32,9.117288490796241
33,9.11773646247908
34,9.116420923737142
35,9.115612836513503
36,9.1155356691006
37,9.117229841071468
38,9.110781039185587
39,9.113111065380476
40,9.11217706330533
41,9.112232788694971
42,9.107864714371253
43,9.10494665994781
44,9.10578071607523
45,9.101171586362165
46,9.10428830020631
47,9.09849849855452
48,7.288835198277088
49,9.09721481826067
50,7.287409632966441
51,7.288769395812318
52,7.288688243380139
53,7.288200981036662
54,7.28602141795055
55,9.091353421745557
56,9.093324446043145
57,9.089684815211815
58,9.084931614487743
59,9.084836971676609
60,9.078844214725374
61,9.077861489448793
62,9.077600006104944
63,9.079664907279474
64,9.07960553699913
65,9.079821557739061
66,9.077041599051267
67,9.0804064945049
68,9.082433870882124
69,9.080774348802317
70,9.083387141984884
71,9.08370309654286
72,9.084082777172187
73,10.868690240660312
74,10.873920186459939
75,12.662252407037565
76,14.432619926942426
77,12.676320732451968
78,12.670516922101305
79,12.674081211971863
80,10.890637714289678
81,10.882686350534367
82,10.881701362839957
83,10.883444877752442
84,10.879538406363828
85,10.87395803832532
86,10.868650823954585
87,10.86844116094457
88,10.872926192770054
89,10.872472214633355
90,10.876738641635004
91,10.87086177442159
92,10.874011548345022
93,10.869550522198594
94,10.871106496411347
95,10.86504640980837
96,10.86855579098323
97,10.864981094388392
98,10.865734186123646
99,10.862995294255926
100,10.867573953435382
101,10.86718984160184
102,10.863958018718083
103,10.867072756651227
104,10.860371134340193
105,10.860312341223825
106,10.860421194049335
107,10.860170323268584
108,10.85913938928855
109,10.85988173124095
110,10.861833273201475
111,10.862263039937014
112,10.86343642047022
113,10.858296201120003
114,10.863989526628334
115,10.860765518747035
116,10.867145801017163
117,10.864305408080329
118,10.863677776379525
119,10.86261058574072
120,10.858351421190758
121,10.864538492984563
122,10.867610608810484
123,10.8647503632746
124,10.861453491969911
125,10.85996398741644
126,10.861042225746777
127,10.866587179639566
128,12.634478560523263
129,12.636997190390309
130,12.641377044588609
131,14.39778997605835
132,14.393021653085642
133,14.401100645753775
134,14.407786410898625
135,14.419597304670809
136,14.432365002621985
137,14.442955590476213
138,14.435530874424556
139,14.4356405175744
140,14.442434468154525
141,14.450540084921062
142,14.461489720231478
143,16.22313441547875
144,16.23641629134686
145,16.26015979227542
146,16.261106592121525
147,16.26820799575819
148,16.26706386356241
149,18.025446230355662
150,16.279745339851207
151,16.28885743175995
152,18.029929734778097
153,18.050098950362926
154,18.035606791017198
155,18.054577418258695
156,18.047994135625615
157,18.076721523014225
158,18.0714402436081
159,18.06596137465719
160,18.044939549495982
161,18.05662988287254
162,18.063600891127557
163,18.061183600311576
164,18.0688935546999
165,18.032394949858304
166,18.048891943746252
167,18.044832268599663
168,18.03615217746498
169,18.03161297794193
170,18.025681151730076
171,18.014016160924214
172,18.015013795213314
173,19.743669619604525
174,18.009329039846644
175,18.011351950368173
176,17.99038910097643
177,18.02266564853783
178,18.007505723207515
179,17.996334647799753
180,17.996286083559596
181,18.021124506316504
182,18.009506455041628
183,18.01497042424451
184,17.997574374387494
185,17.98110892169138
186,17.989310316351443
187,17.96386188393183
188,17.970164047300717
189,17.962864159301922
190,17.983757192828165
191,17.958876492050496
192,17.96434165427991
193,18.00386960903859
194,18.01462699015172
195,17.96945456205034
196,18.01291952248554
197,18.00169641499043
198,19.684083985915493
199,19.657346169248964
200,19.666382026376567
201,16.229504379842258
202,17.96403276852634
203,17.99641432357685
204,19.69532018354772
205,18.010732819126215
206,19.686147132297112
207,18.01211489975137
208,19.72139395342367
209,17.962686270224204
210,19.723051119926303
211,19.693244430110596
212,17.98968540174822
213,19.697104762272186
214,19.729965047621825
215,17.979157911320396
216,17.98878578917907
217,17.989357302194062
218,19.721950369263915
219,19.711861339076922
220,19.720792126004184
221,19.700099225238418
222,21.418942509156953
223,23.142200107595286
224,21.44344688669978
225,23.114920307246997
226,21.42359467228753
227,23.04014319721227
228,21.436277790174792
229,26.34058330849551
230,24.77559425109656
231,26.208186755364
232,28.88859815214166
233,24.33790946431869
234,25.67510714332793
235,25.61218471441285
236,31.773744777544884
237,31.884955264279018
238,25.652186915865798
239,24.169325817902774
240,33.35012356520169
241,27.06985752948731
242,31.516610669428026
243,33.47390351510738
244,34.13574413084463
245,27.08453929375276
246,27.136901990970554
247,27.233257552137704
248,24.301376193117264
249,24.27381582862849
250,22.953790761326974
251,27.0289502954085
252,27.003663049643038
253,22.822444965248167
254,21.277171207306274
255,21.255195010124726
256,21.296249445308916
257,21.299499172307222
258,19.645247848247053
259,19.63119585030393
260,19.653477411098294
261,21.342226170797
262,26.065861681263097
263,35.93896565924817
264,14.521231987213609
265,12.73238746842284
