evaluation_step,average_reward
1,-0.0019666666666666665
2,-0.015208333333333334
3,-0.005958333333333334
4,-0.008891666666666666
5,-0.017283333333333335
6,-0.026066666666666672
7,0.040527769043783315
8,0.3837177592171114
9,0.5113650979162279
10,-0.005208333333333334
11,-0.030400000000000003
12,0.7729031689801951
13,-0.005133333333333334
14,-0.005933333333333334
15,0.015675812898554235
16,-0.013275
17,0.19593806982673706
18,-0.020575
19,-0.02188333333333333
20,0.40725517245436504
21,0.707946500174002
22,-0.046283333333333336
23,0.3473434638706907
24,-0.05602372529834383
25,0.3749289996661532
26,-0.16519166666666668
27,-0.01825833333333333
28,1.1968637369568398
29,1.5630991918435126
30,0.16909944583268005
31,5.229146441186837
32,0.23469282929349772
33,2.8242477238518897
34,3.135125335513787
35,5.092625519468879
36,32.839549540655284
37,61.99382985304501
38,50.56453843780457
39,128.9403579663453
40,128.4367570124166
41,115.67200251170091
42,101.54957202379339
43,156.63515910127555
44,143.98692575723163
45,142.2686773501043
46,148.83456444795678
47,133.99487073677
48,165.14680961079006
49,153.5843479511074
50,150.92125511246323
51,171.17118112595665
52,130.70490115944534
53,169.24618049400246
54,149.92652147555177
55,138.80894619011025
56,148.49431955067743
57,144.64629330926687
58,156.05852814131774
59,176.59180582446234
60,118.516121609579
61,92.99508726173708
62,142.13085177391275
63,161.1060580629172
64,138.01737096931603
65,133.74600305166524
66,152.0970501846705
67,150.39175186950402
68,168.60992636149277
69,158.5089458920247
70,165.84257272730338
71,141.92015708115483
72,165.35777160268646
73,163.39471920470163
74,170.44586759731254
75,140.9249502178737
76,167.2876742157313
77,164.32132303828496
78,163.1891258378314
79,138.94501594366966
80,157.8287488613835
81,163.43052038991644
82,164.2993464800682
83,153.4260740524904
84,160.24299864369382
85,135.80111835528936
86,116.29805819971293
87,160.53721197098534
88,148.55090181035774
89,160.60113745168468
90,162.54149205500477
91,162.4704299303018
92,171.52351474667915
93,165.73607699848395
94,169.82469291540468
95,166.75385160733134
96,162.07772514284633
97,163.37276966924136
98,167.44736699465525
99,138.21361262027182
100,165.2743880387956
101,154.53312757353382
102,142.70494253359675
103,165.52158863566794
104,156.9074400903312
105,147.41834930753782
106,146.54772981689206
107,168.62242963580928
108,175.63174343187717
109,175.9704311227773
110,160.71359722460815
111,160.87261775633723
112,173.23063335231012
113,147.44228846108535
114,179.8746777438236
115,165.0574435778118
116,158.74387186121908
117,176.02815681588498
118,157.45017420371823
119,168.69066406928022
120,174.0188276799501
121,173.71699325846478
122,167.62731564846672
123,168.3682767089832
124,170.71619025038407
125,154.36916699370894
126,134.90466750604986
127,169.01972686491732
128,169.01103074718054
129,172.4748586450781
130,137.7134946969873
131,173.61811941079358
132,150.39374381097358
133,173.5462293066878
134,164.57684138847114
135,176.66828472516136
136,165.07032349222249
137,164.34613364569418
138,175.5928389969817
139,164.85629268887868
140,82.51731033465384
141,163.6799981789875
142,164.11923762213155
143,168.68406890276228
144,173.49546993836628
145,160.9547232422753
146,165.61128907273832
147,164.92358001275804
148,168.53837545523666
149,184.70346268359017
150,174.97646118919556
151,160.74242326608578
152,182.41012852734656
153,184.88431421408274
154,171.99498163099344
155,176.53182791528457
156,169.3917838361457
157,171.08579633470222
158,179.91545371586616
159,170.26864742595814
160,171.16620465215905
161,177.31072176947242
162,169.61723886100728
163,175.1088118610284
164,165.0584298173066
165,172.48795950914104
166,178.3841067255725
167,176.43455860388468
168,168.97863817644676
169,177.6339560702696
170,175.04822906157662
171,174.50242625063535
172,170.6624221976677
173,171.80178818482395
174,181.84956099828634
175,177.6162258340361
176,184.16274713531064
177,167.29096138753334
178,174.55859778499865
179,183.51347091695573
180,176.74557952235324
181,175.72200639132092
182,177.97608062681462
183,175.8131780239687
184,180.047613876918
185,176.78421776278725
186,173.75137166831266
187,178.09750238067141
188,181.8580207301781
189,185.47425449923435
190,180.63206095932543
191,177.55522594915968
192,179.7732550324566
193,179.89362319278243
194,174.59047397468143
195,182.63859243733893
196,172.0966485055021
197,181.19035128378275
198,170.7406504683172
199,179.79411719108944
200,181.3189755852303
