evaluation_step,average_reward
1,5.291534244386568
2,5.28790749139324
3,7.049308203865408
4,7.9968118591114195
5,27.81056330069061
6,53.395777621873194
7,29.452378058454133
8,66.40511113816648
9,95.00672310518516
10,95.13684881432323
11,73.63081007315137
12,81.55952485106116
13,25.854377845366436
14,21.20486675503145
15,31.920894162063497
16,79.5806624399011
17,92.83397251412822
18,104.6256409661974
19,73.30214340460526
20,69.07557908577903
21,86.67980252034555
22,86.16075178418394
23,81.21521458432312
24,77.80783301879171
25,91.35651817082186
26,79.17907964521088
27,85.66064140724609
28,82.77164839371244
29,74.77330144404822
30,122.12858939672883
31,74.38264026706528
32,107.31275107750389
33,97.57234881390663
34,104.16536646940612
35,103.59733316682971
36,69.13490542223856
37,79.62416040481187
38,100.743069914157
39,100.51214865588628
40,95.51944171500206
41,99.36353226010925
42,79.45334775217049
43,76.18119224758487
44,76.07684672370432
45,76.15082477123349
46,83.74609154982716
47,88.44573178250666
48,70.04962360736762
49,76.86396809041388
50,74.50148866835244
51,75.72392116142356
52,78.51855736551303
53,96.70740308623294
54,92.517830276709
55,76.87824030725258
56,88.64510727111895
57,91.9483930350702
58,78.80302469121459
59,72.59029444010989
60,69.18569688807311
61,104.63790758123415
62,78.00493869240373
63,81.30587970184502
64,155.27453664141154
65,155.12641229330552
66,74.53967205867123
67,153.35749391397144
68,166.06490135220145
69,157.06703384851414
70,158.3322378118509
71,150.5784775334681
72,171.28095109031077
73,181.40825376331276
74,172.30841932545803
75,197.4575033273348
76,196.45202988715394
77,192.6281308688679
78,202.73382271655896
79,173.30026712635524
80,186.47966100933866
81,183.33096687154287
82,202.37899243873346
83,194.6773806482577
84,205.61884958092705
85,178.0149344683261
86,185.5421523828259
87,189.83311376228434
88,188.5355901392084
89,204.69492281426335
90,171.26360404599154
91,211.30673400102833
92,199.65161861066315
93,147.93099944387245
94,209.57878991655804
95,206.0488941163548
96,166.15146965142804
97,206.80243170312684
98,216.85809022509812
99,211.74075130289935
100,212.0168929893644
101,219.92506211017584
102,216.36094110918538
103,186.89588551653236
104,180.9802896932317
105,223.0300906413964
106,228.7948092570701
107,289.3473510750517
108,202.48269581650817
109,333.5796983318374
110,188.21570314303167
111,67.51907969733661
112,202.06296183414634
113,216.36578460777295
114,179.09328955073644
115,146.29582692753073
116,149.22219880820086
117,195.18076032072943
118,372.76297441415755
119,160.9977889649328
120,76.51687411901443
121,148.77260039884916
122,26.71357465806829
123,170.84813471122143
124,680.3337180169415
125,218.55180113311607
126,1599.9787344403398
127,1906.5314729283957
128,1783.3276951964394
129,21.639291805958432
130,1803.2705175966603
131,1905.4103875281617
132,127.22643160140663
133,44.9723994301774
134,1592.2118768803311
135,1911.7297998827992
136,112.39600406424829
137,165.20731303306462
138,22.864178427158496
139,145.88593957327973
140,1241.4653403641564
141,1863.9763893434406
142,1797.623710502145
143,1921.187333448029
144,122.46581098880532
145,1914.027959349368
146,472.36676162186177
147,111.50222425998444
148,1923.6340305426506
149,1941.4349346973922
150,1852.5792881961565
151,1882.1451697853468
152,411.4055919602336
153,252.47616611876947
154,1901.9128711476126
155,184.58694604238875
156,94.63935415164096
157,1951.4267722395211
158,1806.7849763917445
159,132.65461272154903
160,1883.601982351957
161,1622.784678149711
162,818.2777789484072
163,24.5437823585758
164,1884.821164568617
165,1961.8964726361933
166,1727.4127534446702
167,106.19868969688639
168,415.8662616259834
169,73.66327961944694
170,1834.151771903514
171,85.89374229954782
172,1874.7444017949424
173,1941.7899330079774
174,1851.7382872144087
175,16.127869609000893
176,8.029198162456998
177,7.984697830611173
178,9.701827448755296
179,21.162412561921702
180,20.85097154991729
181,23.987463380002865
182,27.907236602804876
183,33.26418177007284
184,52.82121997193906
185,61.68557061234314
186,196.75128240255077
187,78.62623777825388
188,74.25988895126537
189,1451.6209722666822
190,22.38297658792195
191,103.97114340364051
192,1970.25489559707
193,1961.030309549463
194,103.29496531834566
195,1921.7234093614193
196,1056.7705427808712
197,431.0710186128598
198,1951.1423548638127
199,52.87977182417897
200,1890.9217186662831
