episode,timestep,reward, averagate_reward_100
69, 960, 19.8069, 19.8069
118, 1920, 23.1686, 23.9614
151, 2880, 26.346, 30.2582
183, 3840, 28.8905, 35.4978
208, 4800, 31.2015, 40.6053
230, 5760, 33.4212, 45.4243
250, 6720, 35.4011, 48.9561
268, 7680, 37.4274, 54.0908
286, 8640, 39.4277, 58.4315
301, 9600, 41.2808, 62.5574
317, 10560, 42.986, 66.8503
331, 11520, 44.722, 70.8695
346, 12480, 46.1268, 73.6665
363, 13440, 47.4797, 75.2002
378, 14400, 48.8812, 77.9523
387, 15360, 49.8998, 79.82
394, 16320, 51.2095, 82.2885
402, 17280, 52.5043, 86.1839
414, 18240, 53.8288, 88.7667
421, 19200, 54.9448, 92.0479
433, 20160, 56.1088, 93.3439
443, 21120, 57.5883, 97.2461
451, 22080, 58.5048, 99.7836
463, 23040, 59.7254, 104.1772
471, 24000, 61.2278, 107.9844
478, 24960, 62.4208, 113.6007
487, 25920, 63.6436, 116.8319
495, 26880, 64.689, 117.2765
501, 27840, 65.4221, 118.8519
508, 28800, 66.6317, 121.7132
515, 29760, 68.0719, 126.507
522, 30720, 69.415, 130.3959
530, 31680, 70.3088, 132.9363
537, 32640, 71.529, 136.0715
545, 33600, 72.3897, 136.7601
552, 34560, 73.3913, 140.1644
558, 35520, 74.4247, 144.682
564, 36480, 75.4675, 147.3573
573, 37440, 76.2318, 145.1003
582, 38400, 76.6747, 142.8395
588, 39360, 77.1353, 141.954
596, 40320, 77.6689, 141.415
601, 41280, 78.4313, 143.6071
614, 42240, 78.5036, 132.7377
623, 43200, 78.7021, 126.012
630, 44160, 79.0321, 125.2655
642, 45120, 79.3533, 118.4011
650, 46080, 80.0299, 118.5077
663, 47040, 80.1407, 107.0075
671, 48000, 80.4716, 105.8776
678, 48960, 80.8711, 105.4105
690, 49920, 81.0225, 103.0595
696, 50880, 81.5717, 104.8322
705, 51840, 81.7993, 101.897
710, 52800, 82.5521, 107.2972
715, 53760, 82.7903, 108.0712
722, 54720, 82.8723, 108.5736
727, 55680, 83.1732, 110.4223
733, 56640, 83.6065, 110.8429
747, 57600, 83.7724, 110.0306
756, 58560, 83.9967, 111.1555
766, 59520, 83.8274, 108.0664
775, 60480, 83.9669, 106.0356
786, 61440, 83.8652, 103.8345
799, 62400, 83.4143, 96.6703
808, 63360, 83.7863, 93.7146
814, 64320, 84.0098, 92.9864
823, 65280, 84.0085, 90.7069
829, 66240, 84.2123, 89.7542
837, 67200, 84.2766, 85.8203
846, 68160, 84.5018, 89.7989
858, 69120, 84.3211, 87.8774
871, 70080, 84.4497, 88.971
882, 71040, 84.3573, 86.8982
893, 72000, 84.2433, 89.5791
906, 72960, 84.2556, 88.3167
910, 73920, 84.3738, 88.7094
914, 74880, 84.5911, 89.3224
931, 75840, 84.1504, 83.5618
951, 76800, 83.4323, 75.3189
964, 77760, 83.2236, 73.2274
973, 78720, 83.1207, 71.3005
981, 79680, 83.1815, 73.4321
988, 80640, 83.0056, 70.4154
1003, 81600, 82.5949, 67.0249
1022, 82560, 81.8258, 57.8621
1034, 83520, 81.4729, 57.6638
1050, 84480, 80.9734, 57.3105
1062, 85440, 80.6108, 54.8777
1079, 86400, 80.1294, 51.1834
1091, 87360, 80.0124, 51.4131
1100, 88320, 79.893, 51.7649
1114, 89280, 79.7173, 55.9804
1131, 90240, 79.3824, 57.4298
1152, 91200, 78.9938, 59.0038
1163, 92160, 78.9264, 60.5438
1170, 93120, 79.2096, 66.8612
1179, 94080, 79.1391, 68.4539
1189, 95040, 79.2725, 70.9942
1205, 96000, 79.0039, 69.808
1223, 96960, 78.8393, 71.4062
1241, 97920, 78.7069, 72.5334
1251, 98880, 78.7625, 75.7404
1264, 99840, 78.6865, 75.9829
1276, 100800, 78.8894, 75.0565
1287, 101760, 78.924, 74.1759
1302, 102720, 78.6954, 74.2402
1317, 103680, 78.6552, 76.1237
1338, 104640, 78.3811, 74.4552
1355, 105600, 78.176, 71.0185
1372, 106560, 78.1239, 68.3878
1381, 107520, 78.2701, 70.7294
1397, 108480, 78.3364, 71.5749
1409, 109440, 78.4417, 74.4545
1420, 110400, 78.5579, 77.4251
1433, 111360, 78.8789, 84.5424
1443, 112320, 79.1743, 91.3486
1458, 113280, 79.1683, 92.2966
1474, 114240, 78.9763, 90.3377
1485, 115200, 78.8981, 87.0076
1493, 116160, 79.0308, 88.466
1506, 117120, 78.9813, 86.9363
1518, 118080, 78.9507, 84.5662
1527, 119040, 79.3362, 87.122
1536, 120000, 79.5287, 87.7144
1544, 120960, 79.7614, 87.5047
1556, 121920, 79.7895, 88.9017
1569, 122880, 79.9185, 93.4371
1577, 123840, 79.9804, 94.9138
1586, 124800, 80.2433, 98.5407
1611, 125760, 79.856, 92.9491
1623, 126720, 80.0856, 94.3883
1636, 127680, 80.1594, 89.8479
1649, 128640, 80.2249, 87.2479
1671, 129600, 79.8757, 79.0115
1683, 130560, 79.9341, 76.6196
1698, 131520, 79.7797, 73.7429
1718, 132480, 79.4342, 71.4456
1735, 133440, 79.4301, 67.9162
1760, 134400, 78.9616, 60.6786
1779, 135360, 78.7282, 58.7137
1794, 136320, 78.6799, 58.5118
1815, 137280, 78.4304, 59.6763
1828, 138240, 78.3651, 58.4362
1838, 139200, 78.2069, 58.3035
1856, 140160, 77.9416, 58.4442
1868, 141120, 77.9364, 61.7522
1886, 142080, 77.7705, 61.8695
1906, 143040, 77.5882, 59.4061
1917, 144000, 77.7434, 65.3446
1934, 144960, 77.5788, 64.5335
1947, 145920, 77.6208, 68.6976
1960, 146880, 77.5187, 69.124
1964, 147840, 77.5568, 69.6402
1970, 148800, 77.536, 70.4526
1994, 149760, 77.0589, 65.7329
2009, 150720, 76.8069, 60.9039
2017, 151680, 76.6839, 56.3733
2033, 152640, 76.4332, 53.8203
2052, 153600, 76.1098, 45.7953
2063, 154560, 75.9599, 44.3593
2078, 155520, 75.7601, 44.8043
2093, 156480, 75.6667, 47.4414
2099, 157440, 75.743, 51.3421
2115, 158400, 75.585, 52.5876
2129, 159360, 75.519, 56.3219
2141, 160320, 75.4753, 58.8441
2152, 161280, 75.4179, 61.2199
2162, 162240, 75.3609, 62.682
2171, 163200, 75.3051, 63.8679
2175, 164160, 75.3003, 64.9517
2183, 165120, 75.2643, 66.6152
2195, 166080, 75.2717, 66.2765
2201, 167040, 75.2723, 65.7163
2210, 168000, 75.234, 67.3804
2220, 168960, 75.1683, 66.7882
2229, 169920, 75.1953, 68.3028
2239, 170880, 75.1972, 69.3166
2259, 171840, 74.9228, 65.0952
2274, 172800, 74.832, 64.5839
2285, 173760, 74.7586, 63.1383
2304, 174720, 74.6477, 61.0703
2315, 175680, 74.6437, 62.2654
2327, 176640, 74.6507, 62.5449
2340, 177600, 74.6678, 63.2026
2355, 178560, 74.6009, 65.9084
2375, 179520, 74.4861, 66.705
2383, 180480, 74.4891, 67.8625
2391, 181440, 74.472, 69.0462
2404, 182400, 74.3978, 68.6407
2423, 183360, 74.2457, 64.3274
2433, 184320, 74.2293, 63.2181
2446, 185280, 74.1743, 64.4531
2462, 186240, 74.0614, 62.3578
2469, 187200, 74.0952, 64.4268
2479, 188160, 74.0537, 63.471
2484, 189120, 74.0776, 64.0649
2495, 190080, 74.0716, 64.7523
2503, 191040, 74.0974, 67.2195
2516, 192000, 74.1243, 69.7395
2523, 192960, 74.2439, 74.2002
2531, 193920, 74.3584, 77.1666
2540, 194880, 74.3671, 78.3656
2557, 195840, 74.3249, 79.6338
2571, 196800, 74.3214, 80.7032
2584, 197760, 74.3429, 80.933
2592, 198720, 74.4709, 83.9927
2602, 199680, 74.5959, 87.3116
2614, 200640, 74.6686, 88.8351
2627, 201600, 74.7399, 85.6437
2635, 202560, 74.9058, 89.2606
2644, 203520, 75.0974, 93.9793
2655, 204480, 75.2031, 97.1246
2662, 205440, 75.4214, 103.6932
2668, 206400, 75.626, 109.2477
2683, 207360, 75.7256, 111.9031
2696, 208320, 75.8249, 109.7081
2714, 209280, 75.8397, 106.4507
2728, 210240, 75.8859, 105.8433
2740, 211200, 75.997, 102.7668
2745, 212160, 76.1186, 102.1162
2760, 213120, 76.0464, 94.3714
2772, 214080, 76.0757, 85.7912
2781, 215040, 76.2347, 90.0597
2794, 216000, 76.2805, 89.3499
2812, 216960, 76.1907, 85.5344
2827, 217920, 76.239, 86.5613
2837, 218880, 76.3783, 85.8669
2849, 219840, 76.4467, 85.7953
2860, 220800, 76.5723, 91.0869
2880, 221760, 76.5375, 85.0398
2897, 222720, 76.5275, 83.0944
2915, 223680, 76.4297, 81.3158
2931, 224640, 76.3801, 77.8299
2941, 225600, 76.4361, 78.3106
