episode,timestep,reward, averagate_reward_100
129, 960, 11.0326, 11.2452
213, 1920, 12.9116, 15.0615
270, 2880, 14.9203, 20.167
318, 3840, 16.6416, 24.3222
351, 4800, 18.1945, 27.7177
374, 5760, 19.407, 31.3354
397, 6720, 20.471, 34.2365
419, 7680, 21.6495, 37.5623
440, 8640, 23.0403, 41.3493
460, 9600, 24.4199, 45.3878
471, 10560, 25.523, 48.6372
485, 11520, 26.7844, 52.9782
500, 12480, 27.9837, 57.3201
518, 13440, 29.2553, 61.1198
539, 14400, 30.4525, 63.0962
555, 15360, 31.8502, 67.265
566, 16320, 32.9568, 69.468
577, 17280, 34.334, 74.1065
589, 18240, 35.4273, 75.9559
601, 19200, 36.455, 78.3321
607, 20160, 37.2963, 82.3797
619, 21120, 38.6185, 86.6915
632, 22080, 39.8526, 92.1343
642, 23040, 41.1147, 97.5698
652, 24000, 42.3913, 102.2276
661, 24960, 43.714, 106.9953
669, 25920, 44.4505, 106.6729
678, 26880, 45.6074, 109.5152
684, 27840, 46.7114, 114.2807
691, 28800, 47.7514, 119.986
696, 29760, 48.5605, 123.29
703, 30720, 49.6, 127.3564
711, 31680, 50.3958, 127.9026
717, 32640, 51.2059, 131.1604
724, 33600, 51.3221, 128.4738
729, 34560, 52.0098, 130.0659
733, 35520, 52.151, 129.2981
739, 36480, 52.2904, 125.4193
743, 37440, 52.4369, 123.8803
752, 38400, 52.7605, 120.3677
758, 39360, 53.0244, 116.0762
765, 40320, 53.3704, 116.452
773, 41280, 53.8536, 111.2086
778, 42240, 54.3343, 113.5032
784, 43200, 54.5641, 108.2765
794, 44160, 54.8948, 101.5375
800, 45120, 55.2868, 97.4382
806, 46080, 55.5119, 95.3668
811, 47040, 55.6526, 93.0283
816, 48000, 55.7635, 88.3772
821, 48960, 55.9098, 89.5239
825, 49920, 56.0992, 89.7657
831, 50880, 56.5569, 89.1489
839, 51840, 57.3494, 94.7348
847, 52800, 57.6714, 95.9541
855, 53760, 57.8063, 94.6688
860, 54720, 58.3555, 98.2849
867, 55680, 58.596, 98.0977
876, 56640, 58.8073, 96.2098
882, 57600, 59.1386, 95.6503
891, 58560, 59.4573, 95.9587
897, 59520, 60.0388, 98.2515
904, 60480, 60.5218, 101.0615
911, 61440, 61.2516, 106.6593
921, 62400, 61.5275, 107.649
926, 63360, 62.4038, 114.1845
934, 64320, 62.821, 109.4911
947, 65280, 63.2139, 110.1583
953, 66240, 63.8418, 115.042
961, 67200, 64.6978, 118.0753
968, 68160, 65.141, 121.7885
975, 69120, 65.75, 126.4352
985, 70080, 66.4533, 130.9663
991, 71040, 66.9877, 134.0837
997, 72000, 67.6921, 136.3429
1004, 72960, 68.4631, 140.2529
1010, 73920, 69.1459, 141.0595
1016, 74880, 69.6716, 145.5611
1023, 75840, 70.2578, 146.3888
1029, 76800, 70.9057, 147.3022
1034, 77760, 71.5014, 152.5762
1040, 78720, 72.2796, 157.601
1046, 79680, 72.9624, 165.0599
1053, 80640, 73.4328, 164.8351
1057, 81600, 74.1932, 171.868
1063, 82560, 74.6453, 169.0717
1069, 83520, 74.8198, 167.2969
1076, 84480, 75.1613, 166.8767
1081, 85440, 75.6653, 170.2149
1086, 86400, 76.2335, 170.294
