episode,timestep,reward, averagate_reward_100
36, 480, 9.3394, 9.3394
76, 960, 9.1363, 9.1363
110, 1440, 9.3593, 9.2056
147, 1920, 9.427, 9.4631
176, 2400, 9.8318, 10.3604
206, 2880, 10.0193, 10.6445
229, 3360, 10.4373, 11.7705
256, 3840, 10.59, 12.1954
273, 4320, 10.9707, 13.1031
292, 4800, 11.302, 13.897
307, 5280, 11.7291, 15.2393
322, 5760, 12.0656, 16.1487
338, 6240, 12.4825, 17.1681
351, 6720, 12.8767, 18.6411
364, 7200, 13.1769, 19.7455
374, 7680, 13.4678, 20.2433
383, 8160, 13.8729, 21.4576
393, 8640, 14.2052, 22.6227
402, 9120, 14.5929, 23.4975
412, 9600, 14.8817, 24.3636
422, 10080, 15.1276, 24.9872
428, 10560, 15.4243, 25.7208
436, 11040, 15.7273, 26.8635
444, 11520, 16.12, 27.8746
450, 12000, 16.4427, 29.011
455, 12480, 16.8297, 30.5689
459, 12960, 17.1061, 31.7394
464, 13440, 17.5012, 33.2417
470, 13920, 17.8377, 34.372
477, 14400, 18.1683, 35.4803
484, 14880, 18.569, 36.3491
487, 15360, 18.8997, 37.5615
491, 15840, 19.1371, 38.6855
497, 16320, 19.4424, 39.6563
502, 16800, 19.7139, 40.3004
509, 17280, 20.0176, 41.1552
513, 17760, 20.2397, 42.279
516, 18240, 20.477, 43.3775
521, 18720, 20.7763, 44.6791
525, 19200, 20.862, 44.7064
529, 19680, 21.1924, 45.6709
533, 20160, 21.4208, 46.4517
536, 20640, 21.6912, 47.6938
539, 21120, 21.8653, 48.0477
542, 21600, 22.0402, 48.5303
546, 22080, 22.3277, 49.702
550, 22560, 22.5479, 50.0211
554, 23040, 22.8348, 50.4533
557, 23520, 23.051, 50.7903
560, 24000, 23.2472, 50.741
563, 24480, 23.481, 51.3731
566, 24960, 23.739, 52.0052
571, 25440, 24.0836, 53.1898
573, 25920, 24.2248, 53.6688
577, 26400, 24.5359, 54.9093
580, 26880, 24.844, 55.9923
583, 27360, 25.0205, 56.4232
585, 27840, 25.1968, 57.1734
588, 28320, 25.4849, 57.0673
590, 28800, 25.7205, 58.1293
593, 29280, 25.9158, 58.7099
597, 29760, 26.1533, 59.5066
600, 30240, 26.4684, 60.5478
603, 30720, 26.692, 61.5423
606, 31200, 26.9278, 62.4923
609, 31680, 27.2193, 63.8762
611, 32160, 27.453, 64.8599
614, 32640, 27.6657, 65.5614
618, 33120, 27.8678, 65.4997
620, 33600, 28.0551, 66.2709
623, 34080, 28.3219, 67.6194
625, 34560, 28.6161, 69.3251
628, 35040, 28.8326, 69.7335
631, 35520, 29.1241, 70.5621
633, 36000, 29.4021, 71.9419
635, 36480, 29.5994, 72.392
639, 36960, 29.8722, 73.0294
642, 37440, 30.0629, 73.546
646, 37920, 30.3208, 73.963
649, 38400, 30.5361, 75.155
651, 38880, 30.7223, 75.2939
653, 39360, 30.8094, 75.2346
656, 39840, 30.9887, 75.5125
659, 40320, 31.1517, 75.7101
661, 40800, 31.3626, 76.4928
665, 41280, 31.5299, 75.7292
667, 41760, 31.6487, 75.9663
669, 42240, 31.7621, 76.0473
672, 42720, 31.9261, 76.1941
675, 43200, 32.0014, 75.4857
677, 43680, 32.0266, 75.2477
680, 44160, 32.1314, 74.3981
683, 44640, 32.1491, 73.7089
687, 45120, 32.2402, 72.3727
689, 45600, 32.3954, 72.4615
692, 46080, 32.6511, 73.196
694, 46560, 32.7414, 72.7144
697, 47040, 32.8367, 72.7368
700, 47520, 32.9515, 71.8506
702, 48000, 33.1593, 72.3181
705, 48480, 33.2898, 72.4005
708, 48960, 33.5786, 73.1052
710, 49440, 33.7357, 72.7376
712, 49920, 33.9288, 73.2075
714, 50400, 34.083, 73.4857
717, 50880, 34.2821, 74.1576
719, 51360, 34.4525, 74.7226
721, 51840, 34.633, 74.4112
723, 52320, 34.773, 74.9637
727, 52800, 35.0044, 73.5909
730, 53280, 35.0841, 73.0105
732, 53760, 35.1873, 72.576
734, 54240, 35.3596, 72.4195
736, 54720, 35.5686, 72.55
738, 55200, 35.7475, 73.364
740, 55680, 35.8638, 73.6584
743, 56160, 36.1663, 75.0777
745, 56640, 36.2932, 75.7391
747, 57120, 36.391, 75.2755
750, 57600, 36.6493, 75.7524
752, 58080, 36.8043, 76.2159
754, 58560, 36.9754, 76.8937
757, 59040, 37.1442, 77.1125
760, 59520, 37.3411, 77.3687
762, 60000, 37.5503, 78.4165
765, 60480, 37.7824, 79.3616
767, 60960, 37.9497, 79.9773
770, 61440, 38.1181, 80.3232
774, 61920, 38.3577, 81.3646
776, 62400, 38.5033, 82.304
778, 62880, 38.6255, 83.1822
781, 63360, 38.8329, 84.2365
783, 63840, 38.9522, 85.4173
785, 64320, 39.1674, 86.9453
787, 64800, 39.3193, 87.9524
790, 65280, 39.5296, 88.0674
792, 65760, 39.7075, 88.5379
795, 66240, 39.7919, 88.7544
798, 66720, 40.0498, 90.0409
800, 67200, 40.2086, 91.0082
802, 67680, 40.3727, 91.0103
804, 68160, 40.5595, 92.2824
807, 68640, 40.8501, 93.0657
809, 69120, 40.9239, 92.4914
812, 69600, 41.1662, 92.6968
814, 70080, 41.3481, 93.2206
816, 70560, 41.5566, 94.3478
818, 71040, 41.7607, 94.8963
820, 71520, 41.9179, 95.1137
822, 72000, 42.0671, 95.2756
824, 72480, 42.241, 95.775
827, 72960, 42.4112, 96.2587
829, 73440, 42.5735, 97.6839
832, 73920, 42.8735, 99.1363
834, 74400, 43.0493, 99.4912
836, 74880, 43.2353, 99.6619
838, 75360, 43.4289, 100.1176
840, 75840, 43.6413, 101.1949
842, 76320, 43.7475, 100.6684
844, 76800, 43.9506, 101.4558
846, 77280, 44.1134, 102.2448
848, 77760, 44.2962, 102.6211
850, 78240, 44.488, 103.2785
852, 78720, 44.6703, 103.822
855, 79200, 44.8542, 104.2878
857, 79680, 45.0009, 104.4761
859, 80160, 45.1439, 104.9897
861, 80640, 45.3181, 105.2208
863, 81120, 45.4672, 105.4813
865, 81600, 45.5768, 105.2037
868, 82080, 45.6404, 104.1604
870, 82560, 45.8114, 105.0499
874, 83040, 45.9286, 104.5278
877, 83520, 46.1144, 104.6424
880, 84000, 46.2509, 104.7103
882, 84480, 46.4049, 105.1055
885, 84960, 46.5707, 104.6862
887, 85440, 46.7131, 104.9026
891, 85920, 46.7759, 103.5243
893, 86400, 46.9429, 103.863
896, 86880, 47.1502, 104.7969
898, 87360, 47.3338, 105.46
900, 87840, 47.5261, 106.0658
902, 88320, 47.692, 106.393
904, 88800, 47.8353, 106.3334
907, 89280, 47.9546, 105.288
909, 89760, 48.0507, 105.7065
912, 90240, 48.1504, 104.8614
914, 90720, 48.3315, 105.1766
917, 91200, 48.5102, 104.2854
919, 91680, 48.7043, 105.1467
922, 92160, 48.8946, 105.0166
925, 92640, 49.1215, 105.0103
927, 93120, 49.2396, 105.7098
932, 93600, 49.3601, 103.3284
936, 94080, 49.4424, 101.3342
938, 94560, 49.6575, 101.853
942, 95040, 49.7458, 100.2511
947, 95520, 49.7902, 96.8802
949, 96000, 49.8563, 96.2093
952, 96480, 50.1528, 96.8637
954, 96960, 50.2331, 96.9726
956, 97440, 50.4482, 97.6986
961, 97920, 50.4608, 94.7398
964, 98400, 50.6071, 94.2436
966, 98880, 50.7173, 94.8396
968, 99360, 50.9355, 96.8967
970, 99840, 51.1278, 97.3801
972, 100320, 51.2944, 98.6164
974, 100800, 51.4667, 99.8697
978, 101280, 51.6797, 100.09
981, 101760, 51.8602, 100.6885
983, 102240, 52.0368, 100.7083
986, 102720, 52.2098, 101.4875
988, 103200, 52.3419, 102.1309
990, 103680, 52.4589, 102.7711
992, 104160, 52.5878, 103.6054
995, 104640, 52.7391, 103.4348
997, 105120, 52.8616, 103.1414
999, 105600, 52.9949, 102.9865
1001, 106080, 53.0857, 102.3854
1003, 106560, 53.2595, 102.8166
1006, 107040, 53.3671, 102.8376
1011, 107520, 53.512, 102.7664
1013, 108000, 53.6631, 103.2274
1018, 108480, 53.672, 100.1117
1021, 108960, 53.7641, 98.6494
1023, 109440, 53.9413, 99.4801
1025, 109920, 54.1379, 100.5391
1027, 110400, 54.3143, 101.3568
1030, 110880, 54.4786, 101.4883
1032, 111360, 54.6497, 103.9489
1035, 111840, 54.7981, 104.6036
1037, 112320, 54.9409, 105.4304
1039, 112800, 55.1279, 105.9461
1041, 113280, 55.3046, 107.3823
