episode,timestep,reward, averagate_reward_100
78, 960, 16.4818, 16.4818
127, 1920, 19.668, 20.8481
162, 2880, 22.2696, 25.9062
187, 3840, 25.0818, 31.8112
208, 4800, 27.2961, 36.5898
224, 5760, 30.0748, 42.9957
242, 6720, 31.9943, 47.6522
262, 7680, 33.2158, 50.9486
281, 8640, 35.2105, 54.3873
304, 9600, 36.1566, 55.2148
325, 10560, 37.3441, 53.1473
336, 11520, 38.7804, 56.4704
349, 12480, 39.7627, 57.8942
365, 13440, 40.885, 59.7653
377, 14400, 41.6261, 59.6813
382, 15360, 42.3489, 62.1552
393, 16320, 43.4612, 66.4586
403, 17280, 44.2884, 69.3773
412, 18240, 45.392, 72.7044
420, 19200, 46.4915, 77.1527
425, 20160, 47.1521, 79.0284
431, 21120, 48.3315, 83.1703
436, 22080, 49.6412, 86.1334
440, 23040, 50.665, 89.2259
444, 24000, 51.9678, 94.7731
449, 24960, 53.7047, 102.3624
454, 25920, 55.1285, 107.9058
458, 26880, 56.7662, 115.1507
463, 27840, 57.6601, 118.9534
469, 28800, 58.7106, 123.0119
475, 29760, 59.8984, 128.4302
479, 30720, 61.2292, 133.802
483, 31680, 62.2761, 137.427
488, 32640, 62.8477, 140.5233
492, 33600, 63.3419, 141.3749
497, 34560, 63.7744, 142.7272
502, 35520, 65.0859, 148.6274
507, 36480, 65.6662, 150.8351
514, 37440, 66.2946, 152.1993
525, 38400, 66.6576, 149.5558
529, 39360, 67.6477, 150.9836
533, 40320, 68.5813, 154.2091
537, 41280, 69.5016, 155.3889
541, 42240, 70.4669, 155.752
545, 43200, 71.0825, 154.6579
550, 44160, 71.8147, 151.734
554, 45120, 72.5711, 151.7603
559, 46080, 73.4784, 147.9345
563, 47040, 74.1403, 150.4439
568, 48000, 75.4615, 154.7964
572, 48960, 76.5471, 156.5885
576, 49920, 77.5558, 159.8609
580, 50880, 78.6378, 161.7593
585, 51840, 79.4655, 160.4041
589, 52800, 80.4793, 166.7945
593, 53760, 81.2643, 169.7226
598, 54720, 82.319, 172.0774
604, 55680, 83.2066, 173.1759
609, 56640, 83.7325, 175.172
615, 57600, 84.2644, 175.7041
622, 58560, 85.0862, 182.2364
