episode,timestep,reward
32, 480, 24.9707
65, 960, 24.4806
91, 1440, 29.6867
112, 1920, 32.5306
132, 2400, 33.7624
147, 2880, 45.5871
161, 3360, 39.4517
168, 3840, 66.9146
180, 4320, 43.7623
191, 4800, 48.6761
205, 5280, 52.3635
214, 5760, 58.2923
223, 6240, 53.8737
234, 6720, 57.0429
243, 7200, 68.2786
251, 7680, 76.3881
260, 8160, 62.9921
267, 8640, 68.5814
274, 9120, 80.2173
280, 9600, 95.1238
288, 10080, 83.4622
296, 10560, 76.924
305, 11040, 65.424
311, 11520, 81.0319
318, 12000, 65.8218
325, 12480, 68.7733
331, 12960, 94.106
336, 13440, 87.4488
342, 13920, 78.444
347, 14400, 108.9505
354, 14880, 99.2005
363, 15360, 71.1628
367, 15840, 100.9604
375, 16320, 84.4722
382, 16800, 76.9494
388, 17280, 91.7565
393, 17760, 112.8741
398, 18240, 125.1362
404, 18720, 93.8718
409, 19200, 107.2381
414, 19680, 111.2441
419, 20160, 138.4877
425, 20640, 115.5317
430, 21120, 113.2412
435, 21600, 142.408
438, 22080, 144.2953
441, 22560, 159.2598
445, 23040, 138.2585
449, 23520, 129.5697
452, 24000, 151.5751
456, 24480, 162.2801
460, 24960, 118.4152
463, 25440, 171.1032
465, 25920, 122.7198
469, 26400, 160.22
473, 26880, 157.0435
476, 27360, 152.6233
479, 27840, 138.7441
483, 28320, 154.2383
487, 28800, 151.1209
489, 29280, 210.7208
491, 29760, 168.394
494, 30240, 165.7954
498, 30720, 171.7194
501, 31200, 187.3579
504, 31680, 144.5101
506, 32160, 189.5371
509, 32640, 170.298
512, 33120, 202.3415
515, 33600, 168.2669
518, 34080, 182.3221
520, 34560, 203.1524
523, 35040, 215.5866
526, 35520, 199.4072
529, 36000, 161.1213
532, 36480, 174.5819
536, 36960, 194.5199
538, 37440, 200.9358
542, 37920, 159.3975
545, 38400, 183.6652
547, 38880, 171.09
550, 39360, 162.963
554, 39840, 155.3384
556, 40320, 235.5893
559, 40800, 182.535
561, 41280, 205.292
564, 41760, 201.7774
566, 42240, 213.5448
569, 42720, 163.1344
573, 43200, 166.4395
575, 43680, 197.1324
578, 44160, 198.533
581, 44640, 198.2165
583, 45120, 232.8887
585, 45600, 196.9922
588, 46080, 182.467
590, 46560, 220.2664
592, 47040, 236.0088
594, 47520, 200.1496
597, 48000, 267.7619
599, 48480, 190.5831
601, 48960, 239.8038
604, 49440, 241.917
606, 49920, 250.456
608, 50400, 256.6901
610, 50880, 251.9012
613, 51360, 227.5053
616, 51840, 230.4149
618, 52320, 261.4285
620, 52800, 229.5471
622, 53280, 209.3978
625, 53760, 247.3504
627, 54240, 243.3626
630, 54720, 207.19
632, 55200, 247.2368
634, 55680, 261.693
636, 56160, 240.2394
638, 56640, 237.4402
640, 57120, 216.5745
642, 57600, 253.5634
644, 58080, 239.3835
646, 58560, 165.7207
648, 59040, 247.3409
650, 59520, 224.2992
652, 60000, 231.5168
654, 60480, 228.849
657, 60960, 251.4576
659, 61440, 255.8551
661, 61920, 231.346
663, 62400, 234.9812
665, 62880, 220.1
667, 63360, 243.4813
669, 63840, 245.388
671, 64320, 242.6773
673, 64800, 254.9428
675, 65280, 233.5239
678, 65760, 199.9516
680, 66240, 221.9692
682, 66720, 274.3089
684, 67200, 253.3902
686, 67680, 275.5014
688, 68160, 217.4346
690, 68640, 272.3479
692, 69120, 268.1932
695, 69600, 166.624
697, 70080, 254.8958
699, 70560, 266.5295
701, 71040, 240.8726
703, 71520, 240.37
706, 72000, 252.4738
708, 72480, 216.6443
711, 72960, 250.9455
713, 73440, 257.8516
715, 73920, 251.0622
717, 74400, 277.7154
719, 74880, 235.1659
721, 75360, 280.4484
723, 75840, 269.845
725, 76320, 265.9448
727, 76800, 260.7922
729, 77280, 266.5958
731, 77760, 230.744
733, 78240, 258.4605
735, 78720, 229.2989
737, 79200, 223.9084
739, 79680, 260.2238
742, 80160, 221.3829
744, 80640, 235.7899
746, 81120, 297.6311
748, 81600, 280.3488
750, 82080, 263.3996
752, 82560, 254.6607
754, 83040, 274.8279
756, 83520, 286.7448
758, 84000, 276.4521
761, 84480, 230.9407
763, 84960, 273.2484
765, 85440, 285.7694
767, 85920, 207.806
769, 86400, 217.19
771, 86880, 224.7348
773, 87360, 253.6509
775, 87840, 216.2697
777, 88320, 269.0759
779, 88800, 226.0706
781, 89280, 260.0829
783, 89760, 261.7531
785, 90240, 260.3124
788, 90720, 209.4831
791, 91200, 159.8886
793, 91680, 243.1014
795, 92160, 277.8583
797, 92640, 227.6297
799, 93120, 248.1708
801, 93600, 245.4145
804, 94080, 225.8828
806, 94560, 252.9125
808, 95040, 264.3645
810, 95520, 267.531
812, 96000, 226.1114
814, 96480, 253.9579
816, 96960, 266.4658
818, 97440, 274.8985
820, 97920, 312.0504
822, 98400, 178.8682
824, 98880, 273.3088
826, 99360, 257.2486
828, 99840, 206.5743
830, 100320, 252.2194
832, 100800, 215.228
834, 101280, 236.1412
836, 101760, 280.6823
838, 102240, 226.9379
840, 102720, 292.1642
843, 103200, 220.8346
845, 103680, 181.6308
847, 104160, 216.5568
849, 104640, 193.7958
851, 105120, 274.7384
853, 105600, 246.0913
856, 106080, 161.0762
858, 106560, 229.5239
861, 107040, 254.5017
863, 107520, 241.489
865, 108000, 243.6247
868, 108480, 248.0386
870, 108960, 229.2559
872, 109440, 259.1729
874, 109920, 261.0929
876, 110400, 282.7539
878, 110880, 215.2148
880, 111360, 263.1783
882, 111840, 251.0388
884, 112320, 200.0773
887, 112800, 181.3377
889, 113280, 218.4797
892, 113760, 182.3468
896, 114240, 153.0253
898, 114720, 256.2615
900, 115200, 273.0323
902, 115680, 197.439
905, 116160, 257.1523
907, 116640, 242.5184
910, 117120, 205.9688
912, 117600, 197.6339
914, 118080, 216.0988
917, 118560, 226.5891
919, 119040, 273.8335
921, 119520, 215.6837
923, 120000, 212.6734
926, 120480, 172.0106
928, 120960, 207.1362
931, 121440, 235.8849
934, 121920, 166.1
936, 122400, 124.1651
939, 122880, 194.6099
941, 123360, 265.6753
943, 123840, 242.7959
947, 124320, 112.6232
949, 124800, 286.6271
952, 125280, 171.7102
954, 125760, 238.4095
956, 126240, 190.2375
959, 126720, 148.0531
961, 127200, 201.9136
963, 127680, 198.0129
966, 128160, 192.2034
968, 128640, 234.499
970, 129120, 280.4589
972, 129600, 241.5641
974, 130080, 269.274
976, 130560, 244.825
978, 131040, 267.7799
980, 131520, 231.5161
982, 132000, 231.8311
984, 132480, 246.0747
986, 132960, 216.8188
988, 133440, 254.4455
990, 133920, 272.9163
992, 134400, 236.9327
994, 134880, 251.1147
996, 135360, 225.5342
998, 135840, 264.5645
1000, 136320, 242.3357
1002, 136800, 262.7244
1004, 137280, 201.5223
1006, 137760, 236.7104
1008, 138240, 280.752
1010, 138720, 191.1542
1012, 139200, 259.9002
1014, 139680, 214.7402
1016, 140160, 277.424
1018, 140640, 208.7777
1020, 141120, 285.6838
1022, 141600, 204.2233
1024, 142080, 254.5467
1026, 142560, 221.4626
1028, 143040, 199.241
1030, 143520, 242.7273
1032, 144000, 219.609
1035, 144480, 195.4048
1037, 144960, 256.0506
1039, 145440, 255.0379
1041, 145920, 242.7899
1043, 146400, 259.3733
1045, 146880, 219.3118
1047, 147360, 173.8066
1049, 147840, 245.7941
1051, 148320, 228.9486
1053, 148800, 205.7725
1055, 149280, 238.7532
1057, 149760, 217.6168
1059, 150240, 265.5791
1061, 150720, 246.4249
1064, 151200, 198.4331
1066, 151680, 234.7664
1069, 152160, 180.1524
1071, 152640, 262.1282
1073, 153120, 278.9744
1075, 153600, 261.1075
1077, 154080, 243.8533
1079, 154560, 236.727
1081, 155040, 280.025
1083, 155520, 241.6255
1085, 156000, 264.9899
1087, 156480, 242.0129
1089, 156960, 207.1632
1091, 157440, 286.1446
1093, 157920, 257.7677
1096, 158400, 218.0967
1098, 158880, 262.2264
1100, 159360, 252.2169
1102, 159840, 288.2605
1104, 160320, 217.7634
1106, 160800, 198.0659
1108, 161280, 220.5773
1110, 161760, 260.9981
1112, 162240, 258.6317
1114, 162720, 217.8435
1116, 163200, 269.497
1118, 163680, 270.3361
1120, 164160, 262.088
1122, 164640, 274.8483
1124, 165120, 266.8017
1126, 165600, 224.1879
1128, 166080, 263.4019
1130, 166560, 228.0365
1132, 167040, 272.3899
1135, 167520, 189.8106
1137, 168000, 258.3751
1139, 168480, 254.2155
1141, 168960, 288.8779
1143, 169440, 259.3954
1145, 169920, 273.5247
1147, 170400, 225.9406
1150, 170880, 196.8919
1152, 171360, 272.2771
1154, 171840, 206.3106
1157, 172320, 230.809
1159, 172800, 269.5813
1161, 173280, 256.4937
1163, 173760, 223.3652
1165, 174240, 292.3671
1167, 174720, 283.832
1169, 175200, 238.2134
1171, 175680, 302.6223
1173, 176160, 312.5994
1175, 176640, 297.5154
1177, 177120, 288.6811
1179, 177600, 290.8231
1181, 178080, 209.5478
1183, 178560, 197.738
1185, 179040, 294.3402
1187, 179520, 297.6162
1189, 180000, 281.3107
1191, 180480, 199.7817
1193, 180960, 274.4901
1195, 181440, 201.2508
1198, 181920, 245.2157
1200, 182400, 290.8988
1202, 182880, 276.697
1204, 183360, 193.9558
1206, 183840, 277.4036
1208, 184320, 296.8132
1210, 184800, 291.001
1212, 185280, 267.5288
1215, 185760, 211.8684
1217, 186240, 288.2563
1219, 186720, 265.0019
1221, 187200, 298.6646
1223, 187680, 269.0491
1225, 188160, 253.4315
1227, 188640, 286.7336
1229, 189120, 253.265
1231, 189600, 219.0272
1233, 190080, 275.4344
1235, 190560, 273.8612
1237, 191040, 224.6241
1239, 191520, 271.2491
1241, 192000, 284.343
1243, 192480, 256.3861
1245, 192960, 228.5274
1247, 193440, 301.9888
1249, 193920, 235.979
1251, 194400, 182.7628
1253, 194880, 231.8037
1255, 195360, 310.3737
1257, 195840, 281.4625
1259, 196320, 318.3027
1262, 196800, 266.2672
1264, 197280, 245.7543
1266, 197760, 242.8376
1268, 198240, 225.458
1270, 198720, 220.0963
1272, 199200, 293.2207
1274, 199680, 200.4769
1277, 200160, 279.8585
1279, 200640, 284.1152
1281, 201120, 265.1086
1283, 201600, 265.7238
1285, 202080, 254.483
1287, 202560, 271.9226
1289, 203040, 257.4
1291, 203520, 207.0047
1294, 204000, 243.5955
1296, 204480, 254.3708
1298, 204960, 255.0154
1301, 205440, 258.4883
1303, 205920, 244.6577
1305, 206400, 215.5108
1307, 206880, 267.8111
1309, 207360, 274.0329
1312, 207840, 271.3005
1314, 208320, 268.6239
1316, 208800, 291.8951
1319, 209280, 219.8954
1321, 209760, 264.4944
1323, 210240, 234.8254
1325, 210720, 289.767
1328, 211200, 231.1311
1330, 211680, 261.0533
1332, 212160, 259.6957
1334, 212640, 199.3538
1336, 213120, 275.7399
1339, 213600, 224.2916
1341, 214080, 257.3241
1343, 214560, 257.3443
1345, 215040, 270.8857
1347, 215520, 237.3604
1349, 216000, 224.9707
1351, 216480, 175.8909
1353, 216960, 266.2066
1355, 217440, 205.8472
1359, 217920, 184.6275
1361, 218400, 314.1559
1363, 218880, 226.6419
1365, 219360, 296.8063
1367, 219840, 257.9042
1369, 220320, 251.9668
1371, 220800, 311.6723
1373, 221280, 319.7724
1375, 221760, 285.7984
1377, 222240, 235.6765
1379, 222720, 270.4912
1381, 223200, 224.3411
1383, 223680, 308.3828
1385, 224160, 277.7075
1387, 224640, 278.6825
1389, 225120, 271.1456
1392, 225600, 273.1179
1394, 226080, 310.7988
1396, 226560, 253.0939
1398, 227040, 257.1118
1400, 227520, 215.037
1402, 228000, 219.2851
1404, 228480, 270.9714
1406, 228960, 314.3574
1408, 229440, 258.2329
1410, 229920, 306.0101
1412, 230400, 275.8991
1415, 230880, 253.4577
1417, 231360, 265.5479
1419, 231840, 211.7532
1421, 232320, 323.2687
1423, 232800, 245.1682
1425, 233280, 299.4622
1427, 233760, 307.6362
1430, 234240, 173.5671
1433, 234720, 245.5996
1435, 235200, 283.2893
1437, 235680, 302.5761
