episode,timestep,reward, averagate_reward_100
52, 720, 0.6426, 0.6426
102, 1440, 1.5624, 1.566
150, 2160, 1.2549, 1.5877
202, 2880, 1.455, 1.3454
255, 3600, 1.6876, 2.285
307, 4320, 1.7378, 2.2616
354, 5040, 1.9524, 2.6365
397, 5760, 2.2158, 3.6039
437, 6480, 2.5749, 4.8977
482, 7200, 2.7576, 5.1424
515, 7920, 3.126, 6.1065
546, 8640, 3.6824, 8.1592
573, 9360, 4.2789, 11.5982
603, 10080, 4.5747, 13.0308
629, 10800, 5.0249, 13.8448
658, 11520, 5.506, 15.0635
685, 12240, 6.0389, 17.0595
705, 12960, 6.4972, 18.3905
726, 13680, 6.7712, 17.9959
748, 14400, 7.448, 21.0607
768, 15120, 8.2338, 25.0973
786, 15840, 8.9927, 28.6745
803, 16560, 9.7753, 34.1067
821, 17280, 10.5959, 38.0972
837, 18000, 11.4007, 43.7001
855, 18720, 12.0573, 45.3869
870, 19440, 12.8537, 47.7533
885, 20160, 13.8732, 52.1383
900, 20880, 13.5292, 43.8946
914, 21600, 14.3719, 48.1116
931, 22320, 15.0954, 49.4296
945, 23040, 15.8734, 51.1303
960, 23760, 16.7856, 55.1531
974, 24480, 17.5153, 55.6005
990, 25200, 18.2506, 60.9907
1004, 25920, 18.791, 64.248
1019, 26640, 19.574, 66.9126
1033, 27360, 20.314, 67.897
1046, 28080, 21.1443, 70.1396
1059, 28800, 21.9749, 72.6121
1072, 29520, 22.7046, 74.0802
1085, 30240, 23.5703, 78.6223
1098, 30960, 24.352, 83.3919
1111, 31680, 25.1702, 84.7981
1125, 32400, 25.8887, 86.8714
1139, 33120, 26.6853, 89.3996
1152, 33840, 27.459, 89.6696
1165, 34560, 28.1914, 90.8762
1178, 35280, 28.9701, 92.2459
1191, 36000, 29.6831, 92.6842
1204, 36720, 30.2818, 91.7776
1218, 37440, 30.8803, 91.2725
1232, 38160, 31.5388, 90.4153
1246, 38880, 32.2005, 90.3955
1259, 39600, 32.9173, 91.7281
1272, 40320, 33.591, 91.7515
1285, 41040, 34.1925, 91.3273
1299, 41760, 34.7669, 90.4354
1313, 42480, 35.4091, 93.0916
1326, 43200, 36.0012, 94.016
1339, 43920, 36.6055, 94.9592
1352, 44640, 37.1678, 95.0477
1365, 45360, 37.7226, 94.2693
1378, 46080, 37.913, 89.6171
1391, 46800, 38.4096, 89.7661
1405, 47520, 38.9286, 89.7214
1418, 48240, 39.4379, 89.6985
1431, 48960, 39.9973, 90.1103
1446, 49680, 40.37, 87.0591
1460, 50400, 40.8925, 87.0478
1472, 51120, 41.3954, 91.8502
1484, 51840, 41.8731, 93.5814
1497, 52560, 42.377, 95.3456
1510, 53280, 42.8652, 95.9699
1523, 54000, 43.259, 94.434
1536, 54720, 43.7105, 95.1935
1549, 55440, 44.0931, 96.6256
1562, 56160, 44.5355, 96.5154
