episode,timestep,reward
3204, 119520, 342.0984
3208, 120000, 306.9584
3211, 120480, 459.5712
3215, 120960, 350.0995
3220, 121440, 274.4166
3222, 121920, 563.1969
3225, 122400, 361.2296
3229, 122880, 389.4985
3232, 123360, 279.5293
3236, 123840, 301.5113
3240, 124320, 423.2003
3243, 124800, 413.8309
3246, 125280, 461.0288
3249, 125760, 364.8001
3252, 126240, 429.3976
3255, 126720, 519.0488
3258, 127200, 471.9061
3261, 127680, 515.2219
3264, 128160, 246.8806
3268, 128640, 502.1922
3270, 129120, 526.0914
3273, 129600, 557.12
3276, 130080, 533.4531
3278, 130560, 511.4071
3281, 131040, 439.3108
3284, 131520, 465.5319
3286, 132000, 544.2366
3289, 132480, 534.0143
3292, 132960, 332.0703
3294, 133440, 406.7241
3297, 133920, 412.6787
3300, 134400, 516.5663
3302, 134880, 396.5739
3304, 135360, 552.7718
3307, 135840, 370.1903
3310, 136320, 478.569
3313, 136800, 324.2429
3315, 137280, 601.9304
3318, 137760, 427.3585
3320, 138240, 491.7009
3322, 138720, 506.0484
3325, 139200, 504.1011
3327, 139680, 508.3431
3329, 140160, 389.1617
3332, 140640, 441.2467
3335, 141120, 288.9888
3339, 141600, 407.8885
3341, 142080, 468.1496
3343, 142560, 446.1732
3346, 143040, 473.3595
3349, 143520, 321.1936
3354, 144000, 217.8019
3357, 144480, 522.2699
3359, 144960, 492.7704
3362, 145440, 480.1407
3365, 145920, 264.8104
3367, 146400, 585.663
3369, 146880, 519.7966
3372, 147360, 515.197
3376, 147840, 285.3374
3379, 148320, 388.8594
3381, 148800, 527.5306
3385, 149280, 282.8961
3387, 149760, 541.3473
3390, 150240, 531.2302
3392, 150720, 372.6094
3394, 151200, 481.9999
3396, 151680, 587.3512
3398, 152160, 517.8777
3401, 152640, 296.3371
3404, 153120, 371.5956
3406, 153600, 505.5382
3408, 154080, 495.6983
3410, 154560, 287.947
3414, 155040, 428.5073
3416, 155520, 581.7284
3419, 156000, 351.3372
3421, 156480, 567.1327
3423, 156960, 547.9567
3426, 157440, 418.6766
3428, 157920, 545.0134
3431, 158400, 453.3205
3433, 158880, 556.7879
3436, 159360, 271.0648
3438, 159840, 721.5527
3441, 160320, 364.4445
3443, 160800, 377.9547
3447, 161280, 282.5304
3450, 161760, 295.0146
3453, 162240, 297.6626
3456, 162720, 279.3622
3459, 163200, 376.9816
3462, 163680, 323.1835
3464, 164160, 475.7795
3466, 164640, 582.9004
3468, 165120, 588.6592
3470, 165600, 559.8455
3472, 166080, 447.8973
3474, 166560, 572.0072
3476, 167040, 483.3865
3478, 167520, 635.5546
3481, 168000, 392.9189
3484, 168480, 344.9865
3488, 168960, 326.7237
3492, 169440, 241.9971
3494, 169920, 502.2882
3496, 170400, 562.154
3499, 170880, 382.1057
3501, 171360, 574.5565
3503, 171840, 602.24
3506, 172320, 350.1347
3509, 172800, 460.8136
3512, 173280, 404.599
3514, 173760, 547.9943
3516, 174240, 633.2994
3519, 174720, 401.9017
3521, 175200, 603.3777
3524, 175680, 302.9704
3526, 176160, 620.8468
3530, 176640, 280.6817
3532, 177120, 303.0434
3535, 177600, 351.3873
3539, 178080, 102.6764
3542, 178560, 500.6975
3544, 179040, 449.8899
3547, 179520, 407.579
3549, 180000, 421.9721
3552, 180480, 308.9784
3555, 180960, 240.4179
3558, 181440, 325.8252
3560, 181920, 543.3023
3562, 182400, 525.7923
3564, 182880, 508.6456
3566, 183360, 615.3141
3568, 183840, 434.3684
3570, 184320, 518.3689
3572, 184800, 510.626
3576, 185280, 261.4184
3578, 185760, 477.1621
3581, 186240, 355.2933
3583, 186720, 441.4971
3586, 187200, 597.3954
3588, 187680, 543.624
3590, 188160, 477.8578
3592, 188640, 554.7059
3594, 189120, 619.6607
3596, 189600, 615.9886
3599, 190080, 339.919
3601, 190560, 498.843
3603, 191040, 479.5467
3605, 191520, 445.1157
3607, 192000, 507.4592
3609, 192480, 664.474
3611, 192960, 641.3827
3614, 193440, 646.0937
3617, 193920, 264.2241
3619, 194400, 580.8368
3622, 194880, 563.6007
3625, 195360, 366.5515
3628, 195840, 450.2387
3630, 196320, 602.4252
3632, 196800, 555.7119
3634, 197280, 498.2357
3636, 197760, 634.6179
3639, 198240, 309.4872
3642, 198720, 468.157
3644, 199200, 725.4516
3646, 199680, 341.0772
3648, 200160, 553.6093
3651, 200640, 362.1828
3653, 201120, 674.269
3656, 201600, 583.7627
3658, 202080, 618.2713
3660, 202560, 471.831
3662, 203040, 620.2387
3664, 203520, 553.0102
3666, 204000, 556.2399
3669, 204480, 460.5673
3671, 204960, 624.0451
3673, 205440, 670.0324
3675, 205920, 460.5738
3677, 206400, 274.8962
3680, 206880, 418.2718
3682, 207360, 725.6122
3684, 207840, 558.0821
3686, 208320, 666.8126
3688, 208800, 741.157
3690, 209280, 743.764
3692, 209760, 464.9382
3694, 210240, 718.2204
3696, 210720, 503.7886
3698, 211200, 613.9757
3700, 211680, 577.6159
3703, 212160, 741.5702
3705, 212640, 410.9433
3708, 213120, 478.309
3710, 213600, 739.19
3712, 214080, 653.3183
3714, 214560, 662.0542
3716, 215040, 760.311
3718, 215520, 607.7426
3720, 216000, 701.3691
3722, 216480, 818.3285
3724, 216960, 748.6611
3726, 217440, 500.748
3728, 217920, 621.5609
3730, 218400, 669.9377
3732, 218880, 669.4534
3735, 219360, 604.612
3737, 219840, 805.8998
3739, 220320, 721.9112
3741, 220800, 783.6126
3744, 221280, 483.6377
3746, 221760, 703.4286
3748, 222240, 584.3768
3750, 222720, 620.6414
3752, 223200, 549.6437
3755, 223680, 380.491
3757, 224160, 668.8755
3759, 224640, 582.3457
3761, 225120, 499.4493
3764, 225600, 448.1739
3767, 226080, 424.274
3769, 226560, 712.2956
3771, 227040, 615.9719
3773, 227520, 670.6331
3775, 228000, 668.4061
3777, 228480, 688.1729
3779, 228960, 550.2679
3781, 229440, 617.1515
3783, 229920, 601.1228
3786, 230400, 403.5894
3788, 230880, 624.6069
3790, 231360, 707.7962
3792, 231840, 744.0147
3794, 232320, 497.6447
3796, 232800, 635.9744
3798, 233280, 803.433
3800, 233760, 684.2862
3802, 234240, 793.9488
3805, 234720, 394.3048
3807, 235200, 784.5182
3809, 235680, 712.7384
3811, 236160, 723.3623
3814, 236640, 510.0377
3816, 237120, 628.6545
3818, 237600, 876.8319
3822, 238080, 626.6054
3824, 238560, 749.6978
3827, 239040, 559.8507
3829, 239520, 769.6574
3832, 240000, 522.1757
3834, 240480, 434.5689
3836, 240960, 773.5272
3839, 241440, 423.3584
3841, 241920, 667.629
3843, 242400, 581.8842
3845, 242880, 669.6154
3848, 243360, 770.6873
3851, 243840, 428.0336
3853, 244320, 710.8912
3855, 244800, 861.0946
3857, 245280, 837.8337
3859, 245760, 884.7722
3861, 246240, 785.288
3863, 246720, 721.1647
3865, 247200, 909.9998
3867, 247680, 882.8761
3869, 248160, 875.5386
3871, 248640, 842.3827
3873, 249120, 723.6488
3876, 249600, 449.7837
