episode,timestep,reward,cumulative_reward,done
1,1,0.030040553820503194,0.030040553820503194,False
1,2,0.030035943183012403,0.0600764970035156,False
1,3,0.030028366672515083,0.09010486367603068,False
1,4,0.030013213209404494,0.12011807688543517,False
1,5,0.02998520580167918,0.15010328268711434,False
1,6,0.02994409158399566,0.18004737427111,False
1,7,0.029893508137665697,0.2099408824087757,False
1,8,0.029839605295073474,0.2397804877038492,False
1,9,0.02979235622816747,0.26957284393201664,False
1,10,0.029766607141292423,0.29933945107330906,False
1,11,0.03976345002812179,0.3391029011014308,False
1,12,0.07719082101819275,0.41629372211962357,False
1,13,0.1307525229835663,0.5470462451031899,False
1,14,0.20501449579120723,0.7520607408943971,False
1,15,0.2988650570470385,1.0509257979414355,False
1,16,0.42042427149794137,1.4713500694393769,False
1,17,0.5752053130690913,2.046555382508468,True
2,18,0.030584512166174437,0.030584512166174437,False
2,19,0.03518852102701333,0.06577303319318777,False
2,20,0.04679360040188083,0.1125666335950686,False
2,21,0.06617021861442426,0.17873685220949287,False
2,22,0.09252087485124831,0.2712577270607412,False
2,23,0.1257068165032914,0.3969645435640326,False
2,24,0.1688460628903606,0.5658106064543932,False
2,25,0.2218216890462486,0.7876322955006418,False
2,26,0.28342419146540987,1.0710564869660517,False
2,27,0.35585148613371353,1.4269079730997651,True
3,28,0.03033277686905616,0.03033277686905616,False
3,29,0.03248142920004125,0.0628142060690974,False
3,30,0.036494297869619725,0.09930850393871712,False
3,31,0.04170408782538942,0.14101259176410655,False
3,32,0.04623401393154787,0.18724660569565443,False
3,33,0.048103144608016374,0.2353497503036708,False
3,34,0.044820147006904947,0.28016989731057573,True
4,35,0.030048416782029158,0.030048416782029158,False
4,36,0.030063741124344692,0.06011215790637385,False
4,37,0.030083989926250294,0.09019614783262414,False
4,38,0.03010086980407168,0.12029701763669581,False
4,39,0.030103711826240612,0.15040072946293642,False
4,40,0.030081522011624808,0.18048225147456123,False
4,41,0.030022782017959822,0.21050503349252106,True
5,42,0.030041437004043554,0.030041437004043554,False
5,43,0.030038405008606838,0.06007984201265039,False
5,44,0.03002920648734381,0.0901090484999942,False
5,45,0.030007481394515603,0.1201165298945098,False
5,46,0.02996608641139915,0.15008261630590894,False
5,47,0.02989817898062726,0.1799807952865362,False
5,48,0.0298009259971991,0.20978172128373532,False
5,49,0.029672870186963775,0.23945459147069909,False
5,50,0.029513303671734513,0.2689678951424336,False
5,51,0.029321650426752097,0.2982895455691857,False
5,52,0.02909426178899426,0.32738380735817996,False
5,53,0.02882599511632222,0.3562098024745022,False
5,54,0.028512499132106087,0.38472230160660825,False
5,55,0.028147929756840908,0.41287023136344914,False
5,56,0.027724044600295445,0.44059427596374456,False
5,57,-10.0,-9.559405724036255,False
5,58,-10.0,-19.559405724036253,False
5,59,-10.0,-29.559405724036253,False
5,60,-10.0,-39.55940572403625,True
